judul,BAB,Pasal,Content
PERMEN_BUMN_No_958_Tahun_2021_Dirubah_961_2022_cleaned.txt,BAB I: KETENTUAN UMUM,PASAL 1,"Dalam Peraturan Menteri ini , yang dimaksud dengan:    1. Badan Usaha Milik Negara  yang selanjutnya dis ingkat   BUMN adalah badan usaha yang seluruh atau s ebagian  besar modalnya dimiliki oleh negara melalui  penyertaan secara langsung yang berasal dari  kekayaan negara yang dipisahkan .  2. Perusahaan Perseroan yang selanjutnya disebut  Persero a dalah BUMN yang berbentuk perseroan  terbatas yang modalnya terbagi dala m saham yang  seluruh atau paling sedikit 51% (lima puluh satu  persen) sahamnya dimiliki oleh Negara Republik  Indonesia yang tujuan utamanya mengejar  keuntungan.   3. Perusahaan Perseroan Ter buka yang selanjutnya  disebut Persero Terbuka adalah Persero yang modal   dan jumlah pemegang sahamnya memenuhi kriteria  tertentu, atau Persero yang melakukan penawaran  umum sesuai dengan peraturan perundang -undangan  di bidang pasar modal.   4. Perusahaan Umum ya ng selanjutnya disebut Perum  adalah BUMN yang seluruh modalnya dimiliki  negara  dan tidak terbagi atas saham, yang bertujuan untuk  kemanfaatan umum berupa penyediaan barang  dan/atau jasa yang bermutu tinggi dan sekaligus  2021 , No.958 -4-  mengejar keuntungan berdasarkan prin sip pengelolaan  perusahaan.   5. Menteri adalah menteri yang ditunjuk dan/at au diberi  kuasa untuk mewakili pemerintah selaku pemegang  saham  negara  pada  Persero dan pemilik modal pada  Perum  dengan memperhatikan peraturan perundang - undangan.   6. Wakil Menteri BUMN I dan Wakil Menteri BUMN II  yang  selanjutnya disingkat  Wakil Menteri, adalah pejabat di  bawah Menteri  yang mempunyai tugas membantu  Menteri dalam memimpin pelaksanaan tugas  Kementerian BUMN .  7. Sekretaris  Kementerian  adalah pejabat Eselon I di  bawah Menteri yang membidangi fungsi  administrasi  di  Kementerian BUMN .  8. Deputi adalah pejabat Eselon I di bawah Menteri yan g  membidangi sumber daya manusia  BUMN .  9. Asisten Deputi adalah pejabat Eselon II di bawah  Deputi yang membidangi manajemen sumber daya  manusia  BUMN .  10. Asisten Deputi Sektor adalah pejabat Eselon II di  bawah Wakil Menteri yang membidangi portofolio  BUMN .  11. Direks i adalah organ BUMN yang bertanggung jawab  atas kepengurusan BUMN untuk kepentingan dan  tujuan BUMN serta mewakili BUMN baik di dalam  maupun di luar pengadilan.   12. Dewan Komisaris adalah organ Persero yang bertugas  melakukan pengawasan dan memberikan nasihat   kepada Direksi dalam menjalankan kegiatan  pengurusan Persero.    13. Dewan Pengawas adalah organ Perum yang bertugas  melakukan pengawasan dan memberikan nasihat  kepada Direksi dalam menjalan kan kegiatan  kepengurusan Perum.   14. Rapat Umum Pemegang Saham yang selanju tnya  disingkat RUPS adalah Organ Perseroan  yang  2021 , No.958 -5-  mempunyai wewena ng yang tidak diberikan kepada  Direksi atau Dewan Komisa ris dalam batas yang  ditentukan dalam undang -undang dan/atau anggaran  dasar.   15. Perusahaan adalah badan usaha selain BUMN .  16. Komite Talenta adalah komite yang dibentuk untuk  melak ukan  penjaringan dan evaluasi terhadap Talenta  Direksi BUMN  yang terdir i dari Komite Talenta BUMN   yang ditetapkan dengan Keputusan Direksi dan Komite  Talenta Kementerian BUMN  yang ditetapkan dengan  Keputusan Sekretaris Kementerian .  17. Komite Suksesi  adalah komite yang dibentuk untuk  melakukan  Uji Kelayakan dan Kepatutan terhadap  Kandidat Direksi BUMN .  18. Talenta Terseleksi ( Selected Talent ) adalah talenta  BUMN yang diusulkan oleh Direksi BUMN kepada  Dewan Komisaris/Dewan Pengawas BUMN,  berdasark an penilaian atas rekam jejak ( track record )  yang terdiri atas kinerja dan kapasitas yang  bersangkutan .   19. Talenta Ternominasi  (Nominated Talent ) adalah Talenta  Terseleksi  dan Direksi yan g sedang menjabat  yang  dinominasikan oleh Dewan Komisaris/Dewan  Pengawa s BUMN dan Talenta Kementerian BUMN yang  dinominasikan oleh Sekretaris Kementerian BUMN ,  kepada Menteri BUMN .  20. Talenta yang Memenuhi Persyaratan ( Eligible Talent )  adalah Talenta Ternomin asi yang telah memenuhi  Persyaratan formal dan Persyaratan lainnya Angg ota  Direksi BUMN serta pemeriksaan latar belakang  (background checking ).  21. Talenta Terkualifikasi ( Qualified Talent ) adalah Talenta  yang Memenuhi Persyaratan yang telah mengikuti  asesmen oleh lembaga profesional dan mendapatkan  rekomendasi untuk masu k ke dalam Wadah Talenta  (Talent Pool ) Kementerian BUMN.     2021 , No.958 -6-  22. Kandidat adalah Talenta Terkualifikasi (Qualified  Talent ) yang diusulkan oleh Komite Suksesi untuk  dipilih sebagai Direksi BUMN oleh Menteri BUMN atau  Tim Penilai Akhir (TPA).   23. Uji Kelayakan dan Kepat utan yang selanjutnya disebut  UKK adalah proses penilaian atas kompetensi, track  record , keahlian ( expertise ), kepribadian ( traits )  terhadap Qualified Talent  untuk menghasilkan  Kandidat  yang diajukan kepada Menteri BUMN/Tim  Penilai Akhir sebagai Anggota Di reksi BUMN.   24. Asesmen adalah proses pengukuran kelayakan  kompetensi Talenta Direksi yang dilakukan oleh  lembaga profesional yang ditetapkan oleh Menteri.   25. Manajemen Talenta adalah bagian  dari pengelolaan dan  pengembangan yang meliputi penjaringan, penilaian ,  pengklasifikasian, pengembangan , dan perputaran  talenta yang berlapis ( multi layering ), objektif,  terencana, terukur , dan akuntabel.   26. Sistem Manajemen Talenta BUMN Berbasis Teknologi  Informasi adalah sistem manajemen talenta BUMN  yang dalam pelaksanaannya  didukung dengan  teknologi informasi, sesuai kebijakan yang ditetapkan  oleh Kementerian BUMN .    BAB II : PERSYARATAN ANGGOTA DIREKSI BUMN   Bagian Kesatu   Persyaratan Materiil"
PERMEN_BUMN_No_958_Tahun_2021_Dirubah_961_2022_cleaned.txt,BAB II: PERSYARATAN ANGGOTA DIREKSI BUMN,PASAL 2,"Untuk dapat diangkat se bagai Direksi BUMN  seseorang harus  memenuhi persyaratan materiil , yaitu :  a. keahlian;   b. integritas;   c. kepemimpinan;   d. pengalaman;   2021 , No.958 -7-  e. jujur;   f. perilaku  yang baik; dan   g. dedikasi yang tinggi untuk memajuka n dan  mengembangkan perusahaan .    Bagian Kedua   Persyaratan Form al"
PERMEN_BUMN_No_958_Tahun_2021_Dirubah_961_2022_cleaned.txt,BAB II: PERSYARATAN ANGGOTA DIREKSI BUMN,PASAL 3,"(1) Selain memenuhi kriteria sebagaimana dimaksud  dalam Pasal 2, untuk dapat diangkat sebagai Direksi  Persero , seseorang harus memenuhi pe rsyaratan yaitu  orang perseorangan yang cakap m elakukan perbuatan  hukum, kecuali dalam waktu 5 (lima) tahun sebelum  pengangkatan pernah :  a. dinyatakan  pailit;   b. menjadi anggota Direksi atau anggota Dewan  Komisaris/Dewan Pengawas yang dinyatakan  bersalah menyebabkan suatu BUMN dan/atau  Perusahaan dinyatakan pailit;  atau  c. dihukum karena melakukan tindak pidana yang  merugikan keua ngan negara, BUMN, Perusahaan,  dan/atau yang berkaitan dengan sektor keuangan .  (2) Untuk dapat diangkat sebagai Direksi Perum,  seseorang harus memenuhi pe rsyaratan yaitu :  a. mampu melaksanakan  perbuatan hukum;   b. tidak pernah dinyatakan pailit;   c. tidak pernah menjadi anggota Direksi atau  anggota Dewan Komisaris/Dewan Pengawas yang  dinyatakan bersalah menyebabkan suatu BUMN  dan/atau Perusahaan dinyatakan pailit;  atau  d. tidak pernah dihukum karena melak ukan tindak  pidana yang merugikan keuangan negara, BUMN,  dan/atau Perus ahaan .         2021 , No.958 -8-  Bagian Ketiga   Persyaratan Lain"
PERMEN_BUMN_No_958_Tahun_2021_Dirubah_961_2022_cleaned.txt,BAB II: PERSYARATAN ANGGOTA DIREKSI BUMN,PASAL 4,"Untuk dapat diangkat sebagai Direksi BUMN, selain  memenuhi persyaratan materiil dan persyaratan formal  sebagaimana dimaksud dalam Pas al 2 dan Pasal 3,  seseorang harus memenuhi persyaratan lain, yaitu :   a. bukan pengurus Partai Politik dan/atau calon anggota  dan/atau anggota  DPR, DPD, DPRD  Provinsi , dan DPRD  Kabupaten/Kota ;  b. bukan calon kepala/wakil kepala daerah dan/atau  kepala/wakil kepala daerah;   c. tidak menjabat sebagai Direksi pad a BUMN yang  bersangkutan selama 2 (dua) periode berturut -turut;   d. memiliki dedikasi dan menyediakan waktu sepenuhnya  untuk melakukan tugasnya;   e. sehat jasmani dan rohani (tidak sedang mend erita suatu  penyakit yang dapat menghambat pelaksanaan tugas  sebagai Di reksi BUMN), yang dibuktikan dengan surat  keterangan sehat dari Dokter; dan  f. memiliki Nomor Pokok Wajib Pajak (NPWP) dan telah  melaksanakan kewajiban membayar pajak selama dua  tahun tera khir.    BAB III : MANAJEMEN TALENTA   Bagian Kesatu   Proses Manajemen Talenta"
PERMEN_BUMN_No_958_Tahun_2021_Dirubah_961_2022_cleaned.txt,BAB III: MANAJEMEN TALENTA,PASAL 5,"Manajemen Talenta dilaksanakan melalui proses :  a. Penjaringan dan Pemilihan Talenta ;   b. Penilaian Talenta ;  c. Pengklasifikasian Talenta ;    2021 , No.958 -9-  d. Pengemban gan Talenta ; dan  e. Perputaran Talenta .     Bagian Ke dua  Penjaringan dan Pemilihan Talenta"
PERMEN_BUMN_No_958_Tahun_2021_Dirubah_961_2022_cleaned.txt,BAB III: MANAJEMEN TALENTA,PASAL 6,"(1) Sumber talenta berasal dari:  a. Talenta Kementerian BUMN yang terdiri atas  pejabat eselon I, eselon II dan eselon III serta  pejabat fungsional sekurang -kurangny a setara  eselon III ;   b. Talenta BUMN terdi ri atas :  1. Direksi  BUMN;   2. Pejabat satu tingkat di bawah Direksi BUMN;  dan/atau   3. Direksi pada anak perusahaan   BUMN/perusahaan patungan BUMN  yang  berkontribusi s ignifikan dan/atau bernilai  strategis bagi BUMN .  c. Talenta Eksternal .  (2) Mekanisme penjaringan dan pemili han Talenta  Kementerian BUMN sebagai berikut :  a. Penjaringan Talenta Kemen terian BUMN  dilakukan oleh Pejabat Eselon II yang membidangi  kepegawaian terhadap Talenta Kementerian BUMN  yang memenuhi kriteria sesuai dengan sistem  manajemen talenta Kementerian BUMN , untuk  disampaikan kepada Komite Talenta Kementerian  BUMN .  b. Penominasia n dan pengusulan Talenta  Kementerian BUMN sebagaimana hasil  penjaringan dalam  huruf a, dilakukan oleh  Sekretaris Kementerian yang dapat melibatkan  Pejabat Eselon I Kementerian BUMN yang  terkait .  (3) Mekanisme penjaringan dan pemilihan Talenta BUMN   sebagai beri kut:  2021 , No.958 -10-  a. Penjaringan Talenta BUMN yang terdiri dari  pejabat satu tingkat di bawah Direksi BUMN dan  Direksi anak perusahaan BUMN/perusahaan  patungan BUMN  yang memenuhi kriteria sesuai  dengan  sistem manajemen talenta di masing - masing BUMN, dilakukan oleh Direksi  dengan  dibantu oleh Komite Talenta BUMN .  b. Talenta BUMN sebagaimana dimaksud dalam   huruf a dinilai oleh Komite Talenta berdasarkan  rekam jejak terhadap :  1. Kinerja, yang terdiri dari penila ian terhadap  hasil kerja (result ) dan perilaku  (behavior );  dan  2. Kapasita s, yang terdiri dari penilaian  terhadap kompetensi aktual  serta  kemauan  dan kecepatan belajar ( learning agility ).  c. Hasil penilaian sebagaimana dimaksud dalam   huruf b dijadikan dasar dala m klasifikasi talenta  yang dituangkan ke dalam 5 (lima) kategori  sebaga i berikut :  1. Talenta Berpotensi Tinggi ( High Potential ):   Talenta yang memiliki kapasitas dan kinerja  yang unggul dan mampu mengoptimalkan ke  dalam pekerjaan sehari -hari. Pegawai yang  merupakan talenta unggul merupakan  kandidat utama yang akan diberikan  tanggung jawab lebih tinggi agar dapat  mengembangkan kapasitasnya .  2. Talenta Berbakat ( Promotable )  Talenta yang memiliki kapasitas dan kinerja  sesuai standar yang ditetapkan namun masih  terda pat area pengembangan. Pegawai yang  merup akan talenta berbakat dapat  dipertimbangkan untuk diberikan tanggung  jawab yang lebih tingg i.  3. Talenta  Penyokong ( Solid Contributor )  Talenta yang memiliki kinerja yang  2021 , No.958 -11-  sesuai/melebihi standar yang ditetapkan  secara k onsisten, namun memiliki kapasitas  yang masih di bawah standar yang tel ah  ditetapkan .  4. Talenta  Belum Optimal  (Sleeping Tiger)  Talenta yang kapasitasnya memenuhi/melebihi  standar yang ditetapkan, namun memiliki  kinerja yang masih di bawah standar yang telah  ditetapkan.   5. Talenta  yang Tidak Sesuai  (Unfit)  Talenta yang memiliki kap asitas dan kinerja  yang belum memenuhi standar yang  ditetapkan dan kurang sesuai dengan  kebutuhan organisasi. Pegawai yang unfit  perlu mendapat perhatian khusus terkait  kontribusinya te rhadap organisasi .  d. Direksi BUMN berdasarkan masukan dari Komite  Talenta  menyampaikan daftar selected talent  yang  termasuk dalam kategori High Potential  atau  sekurang -kurangnya Promotable  kepada Dewan  Komisaris/Dewan Pengawas, dengan jumlah  sebesar 20% atau  persentase tertentu yang  ditentukan oleh Menteri .  e. Dewan Komisaris/Dewa n Pengawas melalui  Komite Nomi nasi dan Remunerasi melakukan  evaluasi atas daftar selected talent  berdasarkan  kinerja dan kapasitas  sebagaimana dimaksud  pada Pasal 6 angka (3) huruf b .  f. Selain melakukan e valuasi atas daftar selected  talent  sebagaimana dimaks ud dalam  huruf e,  Dewan Komisaris/Dewan Pengawa s juga  melakukan evaluasi terhadap Direksi yang saat ini  sedang menjabat.   g. Hasil evaluasi Dewan Komisaris/Dewan Pengawas  sebagaimana dimak sud dalam  huruf e d an f  selanjutnya  diusulkan kepada Menteri BUMN  sebag ai nominated talent .  2021 , No.958 -12-  (4) Mekanisme penjaringan dan pemilihan Talenta  Eksternal  sebagai berikut :  a. Penjaringan Talenta Eksternal dilakukan oleh  Menteri, Wakil Menteri, dan Deputi di  antaranya  dapat  melalui referensi dari pihak ketiga dan jika  diperlukan oleh penc ari bakat ( head hunter ).  b. Talenta Eksternal dapat mengajukan lamaran  kepada Menteri .  c. Mekanisme pengajuan lamaran, penjaringan dan  pemilihan Talenta Eksternal di tetapkan  oleh  Menteri .    Bagian Ketiga   Penilaian Talenta"
PERMEN_BUMN_No_958_Tahun_2021_Dirubah_961_2022_cleaned.txt,BAB III: MANAJEMEN TALENTA,PASAL 7,"(1) Talenta yang sudah dinominasikan sebagaimana  dimaksud dalam Pasal 6, selan jutnya ditetapkan sebagai  Nominated Talent .   (2) Penilaian  terhadap Nominated Talent  yang akan  ditetapkan sebagai Eligible Talent  meliputi pemeriksaan  latar belakang , sebagai berikut:   a. Apabi la diperlukan, pemeriksaan latar belakang  dilakukan oleh Deputi  berdasa rkan berbagai  sumber/informasi yang terkait, serta dapat pula  melibatkan institusi/lembaga tertentu.   b. Pemeriksaan latar belakang adalah proses  memverifikasi kegiatan yang terjadi di masa  lalu  terhadap seorang Talenta , yang dapat berupa  riwayat transaksi keu angan  dan catatan kriminal.   (3) Penilaian  terhadap  Eligible Talent  yang akan ditetapkan  sebagai Qualified Talent  meliputi  pemenuhan persyaratan  materiil  melalui penilaian kompetensi , kuali fikasi  professional ( professional qualification ) dan karakter   (traits), sebagai berikut :  a. Pemenuhan persyaratan materiil  melalui penilaian   Standar K ompetensi, Kualifikasi Professional, dan  2021 , No.958 -13-  Karakter  dilakukan oleh Lembaga Profesional  terpilih.   b. Kriteria Lemba ga Profesional adalah yang memenuhi   persyaratan administrasi dan persya ratan teknis   sebagaimana tercantum dalam Lampiran I yang  merupakan  bagian tidak terpisahkan dari Peraturan  Menteri ini.   c. Dalam hal terdapat perubahan pada persyaratan  lembaga profesional , ditetapkan  oleh Menteri.   d. Pelaksanaan Asesmen bagi Talenta Direksi BU MN  mencakup penilaian terhadap Standar Kompetensi,  Kualifikasi Profesional , dan Karakter Direksi BUMN.   e. Ketentuan  mengenai metodologi  dan hasil asesmen ,  serta pembiayaan  kepada  lembaga p rofesional  ditetapkan  oleh Menteri .   f. Standar Kompetensi sebagaimana dimaksud pada  huruf d terdiri dari:   1. Kepemimpinan Digita l (Digital Leadership );   2. Kemampuan Bisnis Global ( Global Business  Savvy );  3. Fokus Pada Pelanggan ( Customer Focus );   4. Membangun Hubungan Bisnis Strategis  (Building Strategic Partnership );    5. Berorientasi Strategis ( Strategic Orientation );   6. Mendorong Eksekusi ( Driving Execution );  7. Mendorong Inovasi ( Driving Innovation );  8. Mengembangk an Kemampuan Organisasi  (Developing Organizational Capabilities );  9. Memimpin Perubahan ( Leading Change ); dan  10. Mengelola Keberagaman ( Managing Diversity ).  g. Kualifikasi Profesional ( Professio nal Qualification )  sebagaimana dimaksud pada huruf d terdiri dari:   1. Keua ngan (Financial );  2. Komersial (Commercial );  3. Sumber  Daya Manusia (People );  4. Operasional  (Operation ); dan  5. Teknol ogi (Technology ).  2021 , No.958 -14-  h. Karakter ( Traits ) sebagaimana dimaksud pada huruf  d terdiri dari:  1. Keterbukaan ( Openness );  2. Kesadaran ( Concscientiousness );  3. Ekstraver si (Extraversion );  4. Mudah Akur atau Mudah Bersepakat  (Agreeableness ); dan  5. Toleransi pada tekanan ( Stress  Tolerance ).  i. Definisi dan/atau penjelasan atas setiap Standar  Kompetensi, Kualifik asi Profesional , dan Karakter  Direksi BUMN sebagaimana tercantum  dalam  Lampiran II yang merupakan  bagian tidak  terpisahkan dari Peraturan Menteri ini .  j. Dalam hal terdapat perubahan pada Standar  Kompetensi, Kualifikasi Profesional , dan Karakter  Direksi BUMN , ditetapkan  oleh Menteri .    Bagian Keempat   Pengklasifikasian Talenta"
PERMEN_BUMN_No_958_Tahun_2021_Dirubah_961_2022_cleaned.txt,BAB III: MANAJEMEN TALENTA,PASAL 8,"(1) Pengklasifikasian  Qualifie d Talent  merupakan proses  pemetaan talenta yang dilakukan oleh Deputi dengan  mempertimbangkan hasil asesmen yang bersangkutan  oleh Lembaga Profesional, guna mendapatkan Kandidat  Direksi  BUMN berdasarkan kelas BUMN , fungsi , dan  sektor/ klaster .  (2) Kelas BUMN, fungsi , dan sektor/ klaster  sebagaimana  dimaksud pada ayat (1) ditentukan  oleh Menteri .    Bagian Kelima   Penge mbangan Talenta"
PERMEN_BUMN_No_958_Tahun_2021_Dirubah_961_2022_cleaned.txt,BAB III: MANAJEMEN TALENTA,PASAL 9,"(1) Pengembangan talenta dalam Wadah Talenta ( Talent Pool)   Direksi BUMN  dapat dilakukan melalui kerja sama  antara Kementerian BUMN dengan BUMN , dan/atau  2021 , No.958 -15-  pihak lain yang relevan .  (2) Pengembangan terhadap talenta disesuaikan dengan  kebutuhan pengembangan untuk masing -masing  individu ( person alized development ).  (3) Komposisi  pengembangan bagi talenta terdiri dari:  a. kesempatan belajar melalui pr oses pelaksanaan  pekerjaan ( experiencial learning );  b. interaksi dengan ko munitas ahli dan sesama  pembelajar ( social learning ); dan  c. pembelajaran bersifat formal ( formal  learning ).    Bagian Keenam   Perputaran  Talenta"
PERMEN_BUMN_No_958_Tahun_2021_Dirubah_961_2022_cleaned.txt,BAB III: MANAJEMEN TALENTA,PASAL 10,"Perputaran Talenta ( Talent Mobility ) merupakan proses  pengembangan talenta yang  berada di  dalam Wadah Tale nta  (Talent Pool ) Kementerian BUMN melalui mekanisme  penugasan yang dapat dilakukan dalam lingkup internal  BUMN, internal sektor /klaster BUMN, dan lintas  sektor /klaster BUMN."
