judul,Pasal,Content
PERMEN_BUMN_No_46_Tahun_2018_Dirubah_812_2021_cleaned.txt,PASAL 1,"Dalam Peraturan Menteri ini yang dimaksud dengan:   1. Penyelenggara Negara adalah pejabat negara di  lingkungan Kementerian Badan Usaha Milik Negara yang  menjalankan fungsi eksekutif, dan  pejabat lain yang  fungsi dan tugas pokoknya berkaitan dengan  penyelenggaraan negara sesuai dengan ketentuan  peraturan perundang -undangan.   2. Komisi Pemberantasan Korupsi yang selanjutnya  disingkat KPK adalah lembaga negara yang bersifat  independen dan beb as dari pengaruh kekuasaan dan  mempunyai tugas melakukan pemberantasan tindak  pidana korupsi.   3.  Harta Kekayaan adalah harta benda berupa benda  bergerak atau tidak bergerak, berwujud atau tidak  berwujud termasuk hak dan kewajiban lainnya yang  dapat dinila i dengan uang yang dimiliki oleh  Penyelenggara Negara berserta istri atau suami dan anak  yang masih dalam tanggungan Penyelenggara Negara  atau orang lain yang diperoleh sebelum dan selama  Penyelenggara Negara memangku jabatannya.   4. Laporan Harta Kekayaan  Penyelenggara Negara yang  selanjutnya disingkat LHKPN adalah laporan dalam  bentuk cetak dan/atau bentuk lainnya tentang uraian  dan rincian informasi mengenai harta kekayaan, data  pribadi, termasuk penghasilan, pengeluaran dan data  atas harta kekayaan Peny elenggara Negara.   5. Elektronik Laporan Harta Kekayaan Penyelenggara  Negara yang selanjutnya disingkat e-LHKPN  adalah  penyampaian laporan harta kekayaan melalui sebuah  aplikasi secara elektronik.   6. Menteri adalah menteri yang menyelenggarakan urusan  pemer intahan di bidang pembinaan badan usaha milik  negara ."
PERMEN_BUMN_No_46_Tahun_2018_Dirubah_812_2021_cleaned.txt,PASAL 2,"(1) Penyelenggara Negara wajib menyampaikan LHKPN.   (2) Penyelenggara  Negara sebagaimana dimaksud pada ayat  (1) terdiri dari Menteri, Staf Khusus Menteri, dan seluruh  Pegawai Aparatur Sipil Negar a di lingkungan Kementerian  Badan Usaha Milik Negara."
PERMEN_BUMN_No_46_Tahun_2018_Dirubah_812_2021_cleaned.txt,PASAL 3,"(1) Penyelenggara  Negara menyampaikan LHKPN kepada  KPK pada saat:   a. pengangkatan pertama kali dalam suatu jabatan;   b. berakhir masa jabatan ;   c. pensiun; atau  d. pengangkatan kembali setelah berakhirnya masa  jabatan atau pensiun .  (2) Penyampaian  LHKPN dilaksanakan paling lambat 3 (tiga)  bulan terhitung sejak pengangkatan pertama kali dalam  suatu jabatan, berakhir masa jabatan, pensiun, atau  pengangkatan kembali  setelah berakhirnya masa jabatan   atau pensiun."
PERMEN_BUMN_No_46_Tahun_2018_Dirubah_812_2021_cleaned.txt,PASAL 4,(1) Penyampaian  LHKPN selama Penyelenggara Negara  menjabat dilakukan secara periodik setiap 1 (satu) tahun  sekali atas harta kekayaan yang diperoleh sejak tanggal 1  Januari sampai dengan 31 Desember.   (2) Penyampaian LHKPN sebagaiman a dimaksud pada ayat  (1) disampaikan  paling lambat tanggal 31 Maret tahun  berikutnya.
PERMEN_BUMN_No_46_Tahun_2018_Dirubah_812_2021_cleaned.txt,PASAL 5,"(1) Penyampaian  LHKPN dilaksanakan dengan cara:   a. mengisi aplikasi e-LHKPN  pada website   b. mengisi formulir LHKPN dengan format microsoft  excel untuk kemudian dikirimkan melalui email ke  alamat elhkpn@kpk.go.id , atau diserahkan kepada  Direktorat Pendaftaran dan Pemeriksaan Laporan  Harta Kekayaan Penyelenggara Negara KPK.   (2) Formulir  microsoft excel  sebagaimana dimaksud pada  ayat (1) huruf b, dapat diunduh melalui website"
PERMEN_BUMN_No_46_Tahun_2018_Dirubah_812_2021_cleaned.txt,PASAL 6,Tautan pengumuman LHKPN yang sudah diverifikasi KPK  Kementerian Badan Usaha Milik Negara  dengan alamat
PERMEN_BUMN_No_46_Tahun_2018_Dirubah_812_2021_cleaned.txt,PASAL 7,"(1) Dalam rangka koordinasi dengan KPK terkait dengan  monitoring dan evaluasi kepatuhan pelaporan LHKPN  oleh Penyelenggara  Negara sebagaimana dimaksud dalam  Pasal 5, Inspektorat Kementerian B adan Usaha Milik  Negara  bertindak sebagai unit yang melak ukan  pengelolaan LHKPN.   (2) Dalam bertindak sebagai unit yang melakukan  pengelolaan LHKPN sebagaimana dimaksud pada ayat  (1), Inspektur dapat menunjuk atau menetapkan pihak - pihak untuk membantu pelaksanaan tugas pengelolaan  LHKPN.   (3) Inspektur selaku  Unit Pengelolaan LHKPN Kementerian  Badan Usaha Milik Negara menunjuk Admin Instansi dan  Admin Unit Kerja untuk mengelola LHKPN di lingkungan  Kementerian Badan Usaha Milik Negara.   (4) Unit Pengelola LHKPN sebagaimana dimaksud pada Pasal  7 ayat (1) mempunyai tug as:  a. melakukan koordinasi dengan KPK dalam  rangka   monitoring dan evaluasi kepatuhan pelaporan  LHKPN;   b. menyusun m aster jabatan, data wajib LHKPN  serta   perubahan nya, dan menyampaikannya kepada KPK  paling lambat tanggal 15 Desember setiap tahun   berjalan ;  c. mengingatkan Penyelenggara Negara wajib lapor  LHKPN untuk mematuhi kewajiban penyampaian  dan pengumuman LHKPN; dan  d. mengkoordinasikan pencantuman tautan  pengumuman LHKPN sebagaimana dimaksud dalam PASAL 6"
PERMEN_BUMN_No_46_Tahun_2018_Dirubah_812_2021_cleaned.txt,PASAL 8,Pelaksanaan tugas Unit Pengelolaan  LHKPN sebagaimana  dimaksud dalam Pasal 7 dilaporkan kepada Menteri  paling  lambat 30 (tiga puluh) hari sejak berakhirnya batas akhir  penyampaian LHKPN .
PERMEN_BUMN_No_46_Tahun_2018_Dirubah_812_2021_cleaned.txt,PASAL 9,Penyelenggara Negara yang tidak menyampaikan LHKPN  diberikan sanksi administratif sesuai dengan  ketentuan  peraturan perundang -undangan.
PERMEN_BUMN_No_46_Tahun_2018_Dirubah_812_2021_cleaned.txt,PASAL 10,Peraturan Menteri ini mulai berlaku pada tanggal  diundangkan.
