judul,BAB,Pasal,Content
PP_No_33_Tahun_2005_cleaned.txt,BAB I: KETENTUAN UMUM,PASAL 1,"Dalam Peraturan Pemerintah ini, yang dimaksud dengan:   1. Perusahaan Perseroan, yang se lanjutnya disebut Persero, adalah  Badan Usaha Milik Negara yang be rbentuk perseroan terbatas yang  modalnya terbagi dalam saham ya ng seluruh atau paling sedikit  51% (lima puluh satu persen) sa hamnya dimiliki oleh Negara  Republik Indonesia yang tujuan utamanya mengejar keuntungan.  2.  Privatisasi adalah penjualan saha m Persero, baik sebagian maupun  seluruhnya kepada pihak lain da lam rangka meningkatkan kinerja  dan nilai perusahaan, memperbe sar manfaat bagi negara dan  masyarakat, serta memperluas pe milikan saham oleh masyarakat.  3.  Investor adalah mitra strategis da n/atau investor finansial, baik  sendiri maupun konsorsium yang be rasal dari dalam dan/atau luar  negeri yang ikut serta dalam Pr ivatisasi Persero dengan memenuhi  syarat yang ditetapkan.  4.  Komite Privatisasi adalah wa dah koordinasi yang dibentuk oleh  Pemerintah untuk membahas dan me mutuskan kebijakan Privatisasi  sehubungan dengan kebijakan lintas sektoral.  5.  Menteri adalah menteri yang dit unjuk dan/atau diberi kuasa untuk  mewakili Pemerintah selaku rapa t umum pemegang saham dalam  hal seluruh modal Persero dimili ki Negara dan sebagai pemegang  saham pada Persero dalam hal se bagian modal Persero dimiliki  oleh negara, dengan memper hatikan peraturan perundang- undangan.  6.  Menteri Teknis adalah menteri yang mempunyai kewenangan  mengatur kebijakan sektor tempat  Persero melakukan kegiatan  usaha."
PP_No_33_Tahun_2005_cleaned.txt,BAB I: KETENTUAN UMUM,PASAL 2,"(1) Privatisasi dilakukan sesuai de ngan ketentuan dalam Peraturan  Pemerintah ini dengan memperhatikan ketentuan peraturan  perundang-undangan.    (2) Dalam hal Privatisasi terhadap Persero di mana negara tidak  memiliki seluruh saham, disamping memperhatikan ketentuan sebagaimana dimaksud pada ayat (1), harus pula memperhatikan perjanjian dan/atau kesepakata n dengan pemegang saham lain."
PP_No_33_Tahun_2005_cleaned.txt,BAB I: KETENTUAN UMUM,PASAL 3,"(1) Pemerintah dapat melakukan Privatisasi setelah DPR-RI  memberikan persetujuan atas RA PBN yang didalamnya terdapat  target penerimaan negara dari hasil Privatisasi .  (2) Rencana privatisasi sebagaim ana dimaksud pada ayat (1)  dituangkan dalam program tahunan privatisasi yang  pelaksanaannya dikonsultasikan kepada DPR-RI.   (3) Privatisasi dilakukan berdasar kan prinsip-prinsip transparansi,  kemandirian, akuntabilitas, pertanggungjawaban, ke wajaran, dan  prinsip harga terbaik dengan memperhatikan kondisi pasar."
PP_No_33_Tahun_2005_cleaned.txt,BAB I: KETENTUAN UMUM,PASAL 4,Privatisasi dilakukan terhadap saham milik negara pada Persero dan/atau  saham dalam simpanan.       BAB  II  . . .    BAB II : CARA PRIVATISASI
PP_No_33_Tahun_2005_cleaned.txt,BAB II: CARA PRIVATISASI,PASAL 5,(1) Privatisasi dilakukan dengan cara:   a. penjualan saham berdasar kan ketentuan pasar modal;  b. penjualan saham secara langsung kepada investor;  c. penjualan saham kepada manaje men dan/atau karyawan Persero  yang bersangkutan.  (2) Ketentuan lebih lanjut menge nai cara Privatisasi sebagaimana  dimaksud pada ayat (1) diatur  dengan Peraturan Menteri.
PP_No_33_Tahun_2005_cleaned.txt,BAB II: CARA PRIVATISASI,PASAL 6,Penetapan cara Privatisasi sebagaimana dimaksud dalam Pasal 5 ayat (1)  dilakukan berdasarkan pengkajian ya ng dilakukan oleh Menteri.         BAB III : KRITERIA PERSERO YANG DAPAT DIPRIVATISASI
PP_No_33_Tahun_2005_cleaned.txt,BAB III: KRITERIA PERSERO YANG DAPAT DIPRIVATISASI,PASAL 7,Persero yang dapat dipr ivatisasi harus sekurang-kurangnya memenuhi  kriteria:  a. industri/sektor usah anya kompetitif; atau  b. industri/sektor usahanya terkait de ngan teknologi yang  cepat berubah.
PP_No_33_Tahun_2005_cleaned.txt,BAB III: KRITERIA PERSERO YANG DAPAT DIPRIVATISASI,PASAL 8,"(1)  Sebagian aset atau kegiatan dari Persero yang melaksanakan  kewajiban pelayanan umum dan/at au yang berdasarkan undang- undang kegiatan usahanya harus dilakukan oleh Badan Usaha Milik  Negara, dapat dipisahkan untuk dijadikan penyertaan dalam  pendirian perusahaan untuk sela njutnya apabila diperlukan dapat  diprivatisasi.     (2)  Aset atau kegiatan Persero se bagaimana dimaksud pada ayat (1)  adalah aset atau kegiatan ya ng bersifat komersial dengan  memperhatikan ketentuan Pasal 7 ."
PP_No_33_Tahun_2005_cleaned.txt,BAB III: KRITERIA PERSERO YANG DAPAT DIPRIVATISASI,PASAL 9,Persero yang tidak dapat diprivatisasi adalah:  a. Persero yang bidang us ahanya berdasarkan ketentuan peraturan  perundang-undangan hanya boleh dikelola oleh Badan Usaha Milik  Negara;  b. Persero yang bergerak di sektor  usaha yang berkaitan dengan  pertahanan dan keamanan negara;  c. Persero yang bergerak di sektor tertentu yang oleh Pemerintah  diberikan tugas khusus untuk melaksanakan kegiatan tertentu yang  berkaitan dengan kepentingan masyarakat.  d. Persero yang bergerak di bidang us aha sumber daya alam yang secara  tegas berdasarkan ketentuan peratu ran peundang-undangan dilarang  untuk diprivatisasi.      BAB  IV  . . .    BAB IV : PROSEDUR PRIVATISASI PERSERO   Bagian Kesatu  Komite Privatisasi
PP_No_33_Tahun_2005_cleaned.txt,BAB IV: PROSEDUR PRIVATISASI PERSERO,PASAL 10,"(1) Untuk membahas dan memutuskan kebijakan tentang Privatisasi  sehubungan dengan kebijakan lintas sektoral, pemerintah  membentuk sebuah Komite Privatis asi sebagai wadah koordinasi.  (2) Komite Privatisasi dipimpin oleh Menteri Koordinator yang  membidangi perekonomian dengan anggota-anggotanya yaitu  Menteri, Menteri Keuangan, dan Menteri Teknis tempat Persero melakukan kegiatan usaha.  (3) Keanggotaan Komite Privatisasi se bagaimana dimaksud pada ayat  (2) ditetapkan dengan keputusan Presiden."
