judul,BAB,Pasal,Content
PP_No_34_Tahun_2021_cleaned.txt,BAB I: KETENTUAN UMUM,PASAL 1,"Dalam Peraturan Pemerintah ini yang dimaksud dengan:   1. Tenaga Kerja Asing yang selanjutnya disingkat TKA  adalah warga negara asing pemegang visa dengan  maksud bekerja di wilayah Indonesia.   2. Pemberi Kerja TKA adalah badan hukum yang  didirikan berdasarkan hukum Indonesia atau badan  lainnya yang mempekerjakan TKA dengan membayar  upah atau imbalan dalam bentuk lain .  3. Tenaga Kerja Pendamping TKA adalah tenaga kerja  Indonesia yang ditunjuk oleh Pemberi Kerja TKA dan  dipersiapkan sebagai pendamping TKA yang  dipekerjakan dalam rangka alih teknologi dan alih  keahlian.   4. Rencana Penggunaan Tenaga Kerja Asing yang  selanjutny a disingkat RPTKA adalah rencana  penggunaan TKA pada jabatan tertentu dan jangka  waktu tertentu.   5. Pengesahan Rencana Penggunaan Tenaga Kerja Asing  yang selanjutnya disebut Pengesahan RPTKA adalah  persetujuan penggunaan TKA yang disahkan oleh  menteri yang me nyelenggarakan urusan pemerintahan  di bidang ketenagakerjaan atau pejabat yang ditunjuk.   6. Kawasan Ekonomi Khusus yang selanjutnya disingkat  KEK adalah kawasan dengan batas tertentu dalam  wilayah hukum Negara Kesatuan Republik Indonesia  yang ditetapkan untuk  menyelenggarakan fungsi  perekonomian dan memperoleh fasilitas tertentu.   7. Dana Kompensasi Penggunaan TKA yang selanjutnya  disingkat DKPTKA adalah kompensasi yang harus  dibayar oleh Pemberi Kerja TKA atas setiap TKA yang  dipekerjakan sebagai penerimaan nega ra bukan pajak  atau pendapatan daerah.   2021, No.44 -3-  8. Pengawas Ketenagakerjaan adalah pegawai negeri sipil  yang diberi tugas, tanggung jawab, wewenang, dan hak  secara penuh oleh pejabat yang berwenang untuk  melaksanakan kegiatan pembinaan, pemeriksaan,  pengujian, penyidi kan, dan pengembangan sistem  pengawasan ketenagakerjaan sesuai dengan ketentuan  peraturan perundang -undangan.   9. Menteri adalah menteri yang menyelenggarakan  urusan pemerintahan di bidang ketenagakerjaan.     BAB II : KEWAJIBAN DAN LARANGAN BAGI PEMBERI KERJA TEN AGA KERJA ASING     Bagian Kesatu   Umum"
PP_No_34_Tahun_2021_cleaned.txt,BAB II: KEWAJIBAN DAN LARANGAN BAGI,PASAL 2,"(1) Setiap Pemberi Kerja TKA wajib mengutamakan   penggunaan tenaga kerja Indonesia pada semua jenis  jabatan yang tersedia.   (2) Dalam hal jabatan sebagaimana dimaksud pada ayat  (1) belum dapat diduduki oleh tenaga kerja I ndonesia,  jabatan tersebut dapat diduduki oleh TKA.   (3) Penggunaan TKA sebagaimana dimaksud pada  ayat (2)  dilakukan dengan memperhatikan kondisi pasar kerja  dalam negeri."
PP_No_34_Tahun_2021_cleaned.txt,BAB II: KEWAJIBAN DAN LARANGAN BAGI,PASAL 3,"(1) Pemberi  Kerja TKA meliputi:   a. instansi Pemerintah, perwakilan negara asing ,  dan badan internasional;   b. kantor perwakilan dagang asing, kantor  perwakilan perusahaan asing, dan kantor berita  asing yang melakukan kegiatan di Indonesia;   c. perusahaan swasta asing yang berusaha  di  Indonesia;    2021, No.44 -4-  d. badan hukum dalam bentuk pers eroan terbatas  atau yayasan yang didirikan berdasarkan hukum  Indonesia atau badan usaha asing yang terdaftar  di instansi yang berwenang;   e. lembaga sosial, keagamaan, pendidikan, dan  kebudayaan;   f. usaha jasa impresariat; dan   g. badan usaha sepanjang diperbolehkan  oleh  undang -undang untuk menggunakan TKA.   (2) Perseroan terbatas sebagaimana dimaksud pada ayat  (1) huruf d dikecualikan untuk perseroan terbatas  yang berbentuk badan hukum perorangan."
PP_No_34_Tahun_2021_cleaned.txt,BAB II: KEWAJIBAN DAN LARANGAN BAGI,PASAL 4,"(1) TKA hanya  dapat dipekerjakan oleh Pemberi Kerja TKA  dalam hubunga n kerja untuk jabatan tertentu dan  waktu tertentu, serta memiliki kompetensi sesuai  dengan jabatan yang akan diduduki.   (2) Jabatan tertentu  yang dapat diduduki oleh TKA  sebagaimana dimaksud pada ayat (1) ditetapkan oleh  Menteri setelah mendapat masukan dari  kementerian/lembaga terkait."
PP_No_34_Tahun_2021_cleaned.txt,BAB II: KEWAJIBAN DAN LARANGAN BAGI,PASAL 5,"(1) Pemberi Kerja TKA dapat mempekerjakan TKA yang  sedang dipekerjakan oleh Pemberi Kerja TKA lain  untuk jabatan yang sama sebagai:   a. direksi atau komisaris; atau   b. TKA pada sektor pendidikan vokasi dan pelatihan  vokasi, sekto r ekonomi digital, dan sektor migas  bagi kontraktor kontrak kerja sama.   (2) Dalam hal Pemberi Kerja TKA akan mempekerjakan   TKA sebagaimana dimaksud pada ayat (1),  TKA  tersebut harus mendapatkan persetujuan dari Pemberi  Kerja TKA pertama.   (3) TKA se bagaimana dimaksud pada ayat (1)  dipekerjakan  paling lama sampai dengan berakhirnya  2021, No.44 -5-  jangka waktu sebagaimana tercantum dalam  Pengesahan RPTKA Pemberi Kerja TKA pertama.   (4) Jabatan tertentu pada sektor pendidikan vokasi dan  pelatihan  vokasi, sektor ekonomi di gital, dan sektor  migas bagi kontraktor kontrak kerja sama yang dapat  dirangkap sebagaimana dimaksud pada  ayat (1) huruf  b ditetapkan oleh Menteri setelah mendapat  masukan  dari kementerian/lembaga terkait.     Bagian Kedua   Kewajiban"
PP_No_34_Tahun_2021_cleaned.txt,BAB II: KEWAJIBAN DAN LARANGAN BAGI,PASAL 6,"(1) Setiap P emberi Kerja TKA yang mempekerjakan TKA  wajib memiliki RPTKA yang disahkan oleh Menteri  atau pejabat yang ditunjuk.   (2) Dalam  hal Pemberi Kerja TKA akan mempekerjakan  TKA yang sedang dipekerjakan oleh Pemberi Kerja TKA  lain, masing -masing Pemberi Kerja TKA waj ib memiliki  Pengesahan RPTKA.    (3) Pemberi  Kerja TKA sebagaimana dimaksud pada ayat  (1) dan ayat (2) wajib mempekerjakan TKA sesuai  dengan Pengesahan RPTKA."
PP_No_34_Tahun_2021_cleaned.txt,BAB II: KEWAJIBAN DAN LARANGAN BAGI,PASAL 7,"(1) Pemberi Kerja TKA wajib:   a. menunjuk tenaga kerja warga negara Indonesia  sebagai Tenaga Kerja Pen damping TKA yang  dipekerjakan  untuk alih teknologi dan alih  keahlian dari TKA;   b. melaksanakan pendidikan dan pelatihan kerja  bagi Tenaga Kerja Pendamping TKA sebagaimana  dimaksud pada huruf a sesuai dengan kualifikasi  jabatan yang diduduki oleh TKA; dan   c. mem ulangkan TKA ke negara asalnya setelah  perjanjian kerjanya berakhir.   2021, No.44 -6-  (2) Selain kewajiban Pemberi Kerja TKA sebagaimana  dimaksud  pada ayat (1), Pemberi Kerja TKA wajib  memfasilitasi pendidikan dan pelatihan bahasa  Indonesia kepada TKA.   (3) Ketentuan  sebagaimana di maksud pada ayat (1) huruf  a, huruf b, dan ayat (2) tidak berlaku bagi:   a. direksi dan komisaris;   b. kepala kantor perwakilan;   c. pembina, pengurus, dan pengawas yayasan; dan   d. TKA yang dipekerjakan untuk pekerjaan bersifat  sementara."
PP_No_34_Tahun_2021_cleaned.txt,BAB II: KEWAJIBAN DAN LARANGAN BAGI,PASAL 8,(1) Pemberi Kerja TKA waj ib mendaftarkan TKA dalam  program jaminan sosial nasional bagi TKA yang  bekerja lebih dari 6 (enam) bulan atau program  asuransi  pada perusahaan asuransi bagi TKA yang  bekerja kurang dari 6 (enam) bulan.   (2) Program asuransi  bagi TKA  yang bekerja kurang dari 6  (enam) bulan  sebagaimana  dimaksud pada ayat (1)  paling sedikit menjamin pelindungan untuk jenis  risiko kecelakaan kerja.     Bagian Ketiga   Larangan
PP_No_34_Tahun_2021_cleaned.txt,BAB II: KEWAJIBAN DAN LARANGAN BAGI,PASAL 9,Pemberi kerja orang  perseorangan dilarang mempekerjakan  TKA.
PP_No_34_Tahun_2021_cleaned.txt,BAB II: KEWAJIBAN DAN LARANGAN BAGI,PASAL 10,Pemberi Kerja TKA dilarang memp ekerjakan TKA rangkap  jabatan dalam perusahaan yang sama.
