judul,BAB,Pasal,Content
PP_No_50_Tahun_2012bt_cleaned.txt,BAB I: KETENTUAN UMUM,PASAL 1,"Dalam Peraturan Pemerintah ini yang dimaksud dengan: 1.Sistem Manajemen K eselamatan dan Kesehatan Kerja yang selanjutnya dis ingkat SMK3 adalah bagian dari sistem manajemen perusahaan secara keseluruhan dalam rangka pengendalian r isiko yang berkaitan dengan kegiatan kerja guna terciptanya tempat kerja yang aman, efisien dan prod uktif. 2.Keselamatan dan Kesehatan Kerja yang selanjutnya disingkat K3 adalah segala kegiatan untuk menjamin dan melindungi keselamatan dan kesehatan tenaga kerja melalui upaya pencegahan kecelakaan kerja dan penyakit akibat kerja. 3.Tenaga kerja adalah setiap orang yang mampu melakukan pekerjaan guna menghasilkan barang dan/atau jasa baik untuk memenuhi kebutuhan sendiri maupun untuk masyarakat. 4.Pekerja/buruh adalah setiap orang yang bekerja dengan menerima upah atau imbalan dalam bentuk lain. 5.Perusahaan adalah: a.setiap bentuk usaha yang berbadan hukum atau tidak, milik orang perseorangan, milik persekutuan, atau milik badan hukum, baik milik swasta maupun milik negara yang mempekerjakan pekerja/buruh dengan membayar upah atau imbalan dalam bentuk lain. b.usaha -usaha sosial dan usaha -usaha lain yang mempunyai pengurus dan mempekerjakan orang lain dengan membayar upah atau imbalan dalam bentuk lain. 6.Pengusaha adalah: a.orang perseorangan, persekutuan, atau badan hukum yang menjalankan suatu perusahaan milik sendiri; b.orang perseorangan, persekutuan, atau badan hukum yang secara berdiri sendiri menjalankan perusahaan bukan miliknya; c.orang perseorangan, persekutuan, atau badan hukum yang berada di Indonesia mewakili perusahaan sebagaimana dimaksud dalam huruf a dan huruf b yang berkedudukan di luar wilayah Indonesia. 7.Audit SMK3 adalah pemeriksaan secara sistematis dan independen terhadap pemenuhan kriteria yang telah ditetapkan untuk mengukur suatu hasil kegiatan yang telah direncanakan dan dilaksanakan dalam penerapan SM K3 di perusahaan. 8.Menteri adalah Menteri yang menyelenggarakan urusan pemerintahan dibidang ketenagakerjaan."
PP_No_50_Tahun_2012bt_cleaned.txt,BAB I: KETENTUAN UMUM,PASAL 2,"Penerapan SMK3 bertujuan untuk: a.meningkatkan efektifitas perlindungan keselamatan dan kesehatan kerja yang terencana, terukur, terstruktur , dan terintegrasi; b.mencegah dan mengurangi kecelakaan kerja dan penyakit akibat kerja dengan melibatkan unsur manajemen, pekerja/buruh, dan/atau serikat pekerja/serikat buruh; serta c.menciptakan tempat kerja yang aman, nyaman, dan efisien untuk mendorong produktiv itas."
PP_No_50_Tahun_2012bt_cleaned.txt,BAB I: KETENTUAN UMUM,PASAL 3,"(1)Penerapan SMK3 dilakukan berdasarkan kebijakan nasional tentang SMK3. (2)Kebijakan nasional tentang SMK3 sebagaimana dimaksud pada ayat (1) tertuang dalam Lampiran I, II, dan III sebagai bagian yang tidak terpisahkan dari Peraturan Pemer intah ini. BAB II : SISTEM MANAJEMEN KES ELAMATAN DAN KESEHATAN KERJA Bagian Kesatu Umum"
PP_No_50_Tahun_2012bt_cleaned.txt,BAB II: SISTEM MANAJEMEN KES ELAMATAN DAN,PASAL 4,"(1)Kebijakan nasional tentang SMK3 sebagaimana dimaksud dalam Pasal 3, sebagai pedoman perusahaan dalam menerapkan SMK3. (2)Instansi pembina sektor usaha dapat mengemb angkan pedoman penerapan SMK3 sebagaimana dimaksud pada ayat (1) sesuai dengan kebutuhan berdasarkan ketentuan peraturan perundang -undangan ."
PP_No_50_Tahun_2012bt_cleaned.txt,BAB II: SISTEM MANAJEMEN KES ELAMATAN DAN,PASAL 5,(1)Setiap perusahaan wajib menerapkan SMK3 di perusahaannya. (2)Kewajiban sebagaimana dimaksud pada ayat (1) berlaku bagi perusahaan: a.memperkerjakan pekerja/buruh paling sedikit 100 (seratus) orang; atau b.mempunyai tingkat potensi bahaya tinggi. (3)Ketentuan mengenai tingkat potensi bahaya tinggi sebagaimana dimaksud pada ayat (2) huruf b sesuai dengan ketentuan perat uran perundang -undangan . (4)Pengusaha dalam menerapkan SMK3 wajib berpedoman pada Peraturan Pemerintah ini dan ketentuan peraturan perundang - undangan serta dapat memperhatikan konvensi atau standar internasional.
PP_No_50_Tahun_2012bt_cleaned.txt,BAB II: SISTEM MANAJEMEN KES ELAMATAN DAN,PASAL 6,(1)SMK3 sebagaimana dimaksud dalam Pasal 3 ayat (1) meliputi: a.penetapan kebijakan K3; b.perencanaan K3; c.pelaksanaan rencana K3; d.pemantau andan evaluasi kinerja K3; dan e.peninjau andan peningkatan kinerja SMK3. (2)Penerapan SMK3 sebagaimana dimaksud pada ayat (1) tertuang dalam pedoman yang tercantum d alam Lampiran I sebagai bagian yang tidak terpisahkan dari Peraturan Pemerintah ini . Bagian Kedua Penetapan Kebijakan K3
PP_No_50_Tahun_2012bt_cleaned.txt,BAB II: SISTEM MANAJEMEN KES ELAMATAN DAN,PASAL 7,"(1)Penetapan k ebijakan K3 sebagaimana dimaksud dalam Pasal 6 ayat (1)huruf a dilaksanakan oleh pengusaha. (2)Dalam menyusun kebijak an sebagaimana dimaksud pada ayat (1), pengusaha paling sedikit harus: a.melakukan tinjauan awal kondisi K3yang meliputi: 1.identifikasi potensi bahaya, penilaian dan pengendalian risiko; 2.perbandingan penerapan K3dengan perusahaan dan sektor lain yang lebi h baik; 3.peninjauan sebab akibat kejadian yang membahayakan; 4.kompensasi dan gangguan serta hasil penilaian sebelumnya yang berkaitan dengan keselamatan; dan 5.penilaian efisiensi dan efektivitas sumber daya yang disediakan. b.memperhatikan peningkatan kinerja manajemen K3 secara terus - menerus; dan c.memperhatikan masukan dari pekerja/buruh dan/atau serikat pekerja/serikat buruh. (3)Kebijakan K3 sebagaimana dimaksud pada ayat (1) paling sedikit memuat: a.visi; b.tujuan perusahaan; c.komitmen dan tekad melaksanakan kebijaka n; dan d.kerangka dan program kerja yang mencakup kegiatan perusahaan secara menyeluruh yang bersifat umum dan/atau operasional."
PP_No_50_Tahun_2012bt_cleaned.txt,BAB II: SISTEM MANAJEMEN KES ELAMATAN DAN,PASAL 8,"Pengusaha harus menyebarluaskan kebijakan K3 yang telah ditetapkan kepada seluruh pekerja/buruh ,orang lain selain pekerj a/buruh yang berada di perusahaan ,danpihak lain yang terkait. Bagian Ketiga Perencanaan K3"
PP_No_50_Tahun_2012bt_cleaned.txt,BAB II: SISTEM MANAJEMEN KES ELAMATAN DAN,PASAL 9,"(1)Perencanaan sebagaimana dimaksud dalam Pasal 6 ayat (1) huruf b dilakukan untuk menghasilkan rencana K3. (2)Rencana K3 disusun dan ditetapkan oleh pengusaha dengan mengacu pada kebijakan K3 yang telah ditetapkan sebagaimana dimaksud dalam Pasal 7 ayat (1). (3)Dalam menyusun rencana K3 sebagaimana dimaksud pada ayat (2) pengusaha harus mempertimbangkan: a.hasil penelaahan awal; b.identifikasi bahaya, penilaian, dan p engendalian risiko; c.peraturan perundang -undangan dan persyaratan lainnya; dan d.sumber daya yang dimiliki. (4)Pengusaha dalam menyusun rencana K3 sebagaimana dimaksud pada ayat (2) harus melibatkan Ahli K3, Panitia Pembina K3, wakil pekerja/buruh dan pihak lain yang terkait di perusahaan. (5)Rencana K3 paling sedikit memuat : a.tujuan dan sasaran; b.skala prioritas; c.upaya pengendalian bahaya; d.penetapan sumber daya ; e.jangka waktu pelaksanaan; f.indikator pencapaian ;dan g.sistem pertanggungjawaban . Bagian Keempat Pelaksana an Rencana K3"
PP_No_50_Tahun_2012bt_cleaned.txt,BAB II: SISTEM MANAJEMEN KES ELAMATAN DAN,PASAL 10,"(1)Pelaksanaan rencana K3 dilakukan oleh pengusaha berdasarkan rencana K3 sebagaimana dimaksud dalam Pasal 6 ayat (1) huruf c dan Pasal 9 (2)Pengusaha dalam melaksanakan rencana K3didukung oleh sumber daya manusia di bidang K3, prasaran a dan sarana. (3)Sumber daya manusia sebagaimana dimaksud pada ayat (2) harus memiliki: a.kompetensi kerja yang dibuktikan dengan sertifikat ; dan b.kewenangan di bidang K3 yang dibuktikan dengan surat izin kerja/operasi dan/atau surat penunjukkan dari instansi yang berwenang. (4)Prasarana dan sarana sebagaimana dimaksud pada ayat (2) paling sedikit terdiri dari: a.organisasi/unit yang bertanggung jawab di bidang K3; b.anggaran yang memadai; c.prosedur operasi/kerja, informasi, dan pelaporan serta pendokumentasian; dan d.instruksi kerja."
