judul,judul_id,BAB,BAB_id,Pasal,Pasal_id,Content
PP No 29 Tahun 2021,3002921,BAB I: KETENTUAN UMUM,300292101,PASAL 1,300292101001,"Dalam Peraturan Pemerintah ini yang dimaksud  dengan:   1. Perdagangan adalah tatanan ke giatan yang terkait  dengan transaksi Barang dan/atau Jasa di dalam  negeri dan melampaui batas wilayah negara  dengan tujuan pengalihan hak atas Barang  dan/atau Jasa untuk memperoleh imbalan atau  kompensasi.   2. Perdagangan Luar Negeri adalah Perdagangan  yang mencakup kegiatan Ekspor dan/atau Impor  atas Barang dan/atau Perdagangan Jasa yang  melampaui batas wilayah negara.   3. Standar adalah persyaratan teknis atau sesuatu  yang dibakukan, termasuk tata cara dan metode  yang disusun berdasarkan konsensus semua  pihak/Pemerintah/keputusan internasional yang  terkait dengan memperhatikan syarat  keselamatan, keamanan, kesehatan, lingkungan  hidup, perkembangan ilmu pengetahuan dan  teknologi, pengalaman, serta perkembangan pada  masa kini dan masa depan untuk memperoleh  manfaat yang sebesar  besarnya.   4. Standar Nasional Indonesia yang selanjutnya  disingkat SNI adalah Standar yang ditetapkan oleh  2021, No.39  3   lembaga yang menyelenggarakan pengembangan  dan pembinaan di bidang standardisasi.   5. Ekspor adalah kegiatan meng eluarkan Barang dari  daerah pabean.   6. Eksportir adalah orang perseorangan atau lembaga  atau badan usaha, baik yang berbentuk badan  hukum maupun bukan badan hukum, yang  melakukan Ekspor.   7. Impor adalah kegiatan memasukkan Barang ke  dalam daerah pabean.   8. Importir adalah orang perseorangan atau lembaga  atau badan usaha, baik yang berbentuk badan  hukum maupun bukan badan hukum, yang  melakukan Impor.   9. Pelaku Usaha adalah orang perseorangan atau  badan usaha yang melakukan usaha dan/atau  kegiatan pada bidang  tertentu.   10. Pelaku Usaha Distribusi adalah Pelaku Usaha  yang menjalankan kegiatan Distribusi Barang di  dalam negeri.   11. Produsen adalah Pelaku Usaha yang memproduksi  Barang.   12. Usaha Mikro, Kecil, dan Menengah yang  selanjutnya disingkat UMK  M adalah u saha mikro,  usaha kecil, dan usaha menengah sebagaimana  dimaksud dalam Undang  Undang tentang Usaha  Mikro, Kecil, dan Menengah.   13. Distributor adalah Pelaku Usaha Distribusi yang  bertindak atas namanya sendiri dan/atau atas  penunjukan dari Produsen atau pe masok atau  Importir berdasarkan perjanjian untuk melakukan  kegiatan pemasaran Barang.   14. Pengemas adalah Pelaku Usaha yang melakukan  pengemasan Barang.   15. Pedagang Pengumpul adalah Pelaku Usaha yang  mempunyai kegiatan usaha melakukan  pengumpulan hasil produksi usaha mikro dan  2021, No.39  4   usaha kecil untuk diperdagangkan.   16. Agen adalah Pelaku Usaha Distribusi yang  bertindak sebagai perantara untuk dan atas nama  pihak yang menunjuknya berdasarkan perjanjian  dengan imbalan Komisi untuk melakukan ke giatan  pemasaran Barang tanpa memiliki dan/atau  menguasai Barang yang dipasarkan.   17. Grosir/Perkulakan adalah Pelaku Usaha Distribusi  yang menjual berbagai macam Barang dalam  partai besar dan tidak secara eceran.   18. Pengecer adalah Pelaku Usaha Distribus i yang  kegiatan pokoknya memasarkan Barang secara  langsung kepada Konsumen.   19. Konsumen adalah setiap orang pemakai Barang  dan/atau Jasa yang tersedia dalam masyarakat,  baik bagi kepentingan diri sendiri, keluarga, orang  lain, maupun makhluk hidup lain da n tidak untuk  diperdagangkan.   20. Penjual Langsung adalah orang perseorangan atau  badan usaha berbentuk perseroan terbatas yang  merupakan anggota mandiri jaringan pemasaran  atau penjualan perusahaan.   21. Perusahaan Penjualan Langsung adalah badan  usaha yan g berbentuk perseroan terbatas yang  melakukan kegiatan usaha Perdagangan Barang  dengan sistem Penjualan Langsung.   22. Penjualan Langsung adalah sistem penjualan  Barang tertentu melalui jaringan pemasaran yang  dikembangkan oleh Penjual Langsung yang bekerja   atas dasar Komisi dan/atau Bonus berdasarkan  hasil penjualan kepada Konsumen di luar lokasi  eceran.   23. Penjualan Langsung secara Single Level  adalah  penjualan Barang tertentu yang tidak melalui  jaringan pemasaran berjenjang.   24. Penjualan Langsung secara Multi Level  adalah  penjualan Barang tertentu melalui jaringan  2021, No.39  5   pemasaran berjenjang yang dikembangkan oleh  Penjual Langsung yang bekerja atas dasar Komisi  dan/atau Bonus berdasarkan hasil penjualan  Barang kepada Konsumen.   25. Hak Distr ibusi Eksklusif adalah hak untuk  mendistribusikan Barang yang dimiliki oleh hanya  satu perusahaan dalam wilayah Indonesia yang  didapat dari perjanjian secara langsung maupun  tidak langsung dengan pemilik hak Distribusi  merek dagang atau dari kepemilikan at as merek  dagang.   26. Toko Swalayan adalah toko dengan sistem  pelayanan mandiri, menjual berbagai jenis Barang  secara eceran yang berbentuk minimarket,  supermarket, department store,  hypermarket,   ataupun grosir yang berbentuk perkulakan.   27. Pusat Perbelanj aan adalah suatu area tertentu  yang terdiri dari satu atau beberapa bangunan  yang didirikan secara vertikal maupun horizontal  yang dijual atau disewakan kepada Pelaku Usaha  atau dikelola sendiri untuk melakukan kegiatan  Perdagangan Barang.   28. Pusat Niaga adalah suatu area terpadu untuk  usaha Perdagangan dan komersil lainnya.   29. Komisi atas Penjualan yang selanjutnya disebut  Komisi adalah imbalan yang diberikan oleh  perusahaan kepada Penjual Langsung yang  besarnya dihitung berdasarkan hasil kerja nyata,  sesuai volume atau nilai hasil penjualan Barang,  baik yang dihasilkan oleh Penjual Langsung secara  pribadi maupun yang dihasilkan oleh jaringannya.   30. Bonus atas Penjualan yang selanjutnya disebut  Bonus adalah tambahan imbalan yang diberika n  oleh perusahaan kepada Penjual Langsung, karena  berhasil melebihi target penjualan Barang yang  ditetapkan perusahaan.     2021, No.39  6   31. Program Pemasaran adalah program perusahaan  dalam memasarkan Barang yang akan  dilaksanakan dan dikembangkan oleh Penjual  Langsung me lalui jaringan pemasaran dengan  bentuk Penjualan Langsung secara Single Level   atau Penjualan Langsung secara Multi Level  .  32. Skema Piramida adalah kegiatan usaha yang  bukan dari hasil kegiatan penjualan Barang tetapi  memanfaatkan peluang keikutsertaan Pe njual  Langsung untuk memperoleh imbalan atau  pendapatan terutama dari biaya partisipasi orang  lain yang bergabung kemudian atau setelah  bergabungnya Penjual Langsung tersebut.   33. Perizinan Berusaha adalah legalitas yang diberikan  kepada Pelaku Usaha untuk  memulai dan  menjalankan usaha dan/atau kegiatannya.   34. Nomor Induk Berusaha yang selanjutnya disingkat  NIB adalah bukti registrasi/pendaftaran Pelaku  Usaha untuk melakukan kegiatan usaha dan  sebagai identitas bagi Pelaku Usaha dalam  pelaksanaan kegiatan usahanya.   35. Barang adalah setiap benda, baik berwujud  maupun tidak berwujud, baik bergerak maupun  tidak bergerak, baik dapat dihabiskan maupun  tidak dapat dihabiskan, dan dapat  diperdagangkan, dipakai, digunakan, atau  dimanfaatkan oleh Konsumen atau Pela ku Usaha.   36. Barang Kebutuhan Pokok adalah Barang yang  menyangkut hajat hidup orang banyak dengan  skala pemenuhan kebutuhan yang tinggi serta  menjadi faktor pendukung kesejahteraan  masyarakat.   37. Barang Penting adalah Barang strategis y ang  berperan penting dalam menentukan kelancaran  pembangunan nasional.   38. Jasa adalah setiap layanan dan unjuk kerja  berbentuk pekerjaan atau hasil kerja yang dicapai,  2021, No.39  7   yang diperdagangkan oleh satu pihak ke pihak lain  dalam masyarakat untuk dimanfaatkan o leh  Konsumen atau Pelaku Usaha.   39. Distribusi adalah kegiatan penyaluran Barang  secara langsung atau tidak langsung kepada  Konsumen.   40. Perdagangan Melalui Sistem Elektronik adalah  Perdagangan yang transaksinya dilakukan melalui  serangkaian perangkat dan  prosedur elektronik.   41. Gudang adalah suatu ruangan tidak bergerak yang  tertutup dan/atau terbuka dengan tujuan tidak  untuk dikunjungi oleh umum, tetapi untuk  dipakai khusus sebagai tempat penyimpanan  Barang yang dapat diperdagangkan dan tidak  untuk kebu tuhan sendiri.   42. Pasar Rakyat adalah tempat usaha yang ditata,  dibangun, dan dikelola oleh Pemerintah,  Pemerintah Daerah, swasta, badan usaha milik  negara, dan/atau badan usaha milik daerah,  dapat berupa toko/kios, los, dan tenda yang  dimiliki/dikelola o leh pedagang kecil dan  menengah, swadaya masyarakat, atau koperasi  serta UMK  M dengan proses jual beli Barang  melalui tawar  menawar.   43. Tanda Daftar Gudang yang selanjutnya disingkat  TDG adalah bukti pendaftaran Gudang yang  diberikan kepada pemilik Gudang .  44. Alat Ukur adalah alat yang diperuntukkan atau  dipakai bagi pengukuran kuantitas dan/atau  kualitas.   45. Alat Takar adalah alat yang diperuntukkan atau  dipakai bagi pengukuran kuantitas atau  penakaran.   46. Alat Timbang adalah alat yang diperuntukkan atau  dipakai bagi pengukuran massa atau  penimbangan.     2021, No.39  8   47. Alat Perlengkapan adalah alat yang diperuntukkan  atau dipakai sebagai pelengkap atau tambahan  pada alat  alat ukur, takar atau timbang, yang  menentukan hasil pengukuran, penakaran atau  penimbangan.   48. Persetujuan Tipe adalah Perizinan Berusaha  berupa sertifikat yang menyatakan tipe Alat Ukur,  Alat Takar, Alat Timbang, dan Alat Perlengkapan  produksi dalam negeri atau Alat Ukur, Alat Takar,  Alat Timbang, dan Alat Perlengkapan asal Impor  telah memperoleh persetujuan berdasarkan  penilaian kesesuaian terhadap persyaratan teknis.   49. Reparasi Alat Ukur, Alat Takar, Alat Timbang, dan    Alat Perlengkapan adalah suatu kegiatan  memperbaiki dan/atau memelihara Alat Ukur, Alat  Takar, Alat Timbang, da n Alat Perlengkapan,  dilakukan oleh Reparatir Alat Ukur, Alat Takar,  Alat Timbang, dan Alat Perlengkapan.   50. Reparatir Alat Ukur, Alat Takar, Alat Timbang, dan  Alat Perlengkapan adalah personel atau teknisi  yang telah mempunyai kemampuan/keahlian  dalam bi dang Reparasi Alat Ukur, Alat Takar, Alat  Timbang, dan Alat Perlengkapan.   51. Bahan Baku adalah bahan mentah, Barang  setengah jadi, atau Barang jadi yang dapat diolah  menjadi Barang setengah jadi atau Barang jadi  yang mempunyai nilai ekonomi yang lebih tin ggi.  52. Barang Dalam Keadaan Terbungkus yang  selanjutnya disingkat BDKT adalah Barang yang  dimasukkan ke dalam kemasan baik yang tertutup  secara penuh maupun sebagian dan untuk  mempergunakannya harus membuka kemasan,  merusak kemasan, atau segel kemasan, d an yang  kuantitasnya ditentukan sebelum diedarkan,  dijual, ditawarkan, atau dipamerkan.   53. Pemerintah Pusat adalah Presiden Republik  Indonesia yang memegang kekuasaan  2021, No.39  9   pemerintahan negara Republik Indonesia yang  dibantu oleh Wakil Pre siden dan menteri  sebagaimana dimaksud dalam        Undang   Undang Dasar Negara Republik Indonesia                Tahun 1945.   54. Pemerintah Daerah adalah kepala daerah sebagai  unsur penyelenggara pemerintahan daerah yang  memimpin pelaksanaan urusan pemerint ahan  yang menjadi kewenangan daerah otonom.   55. Menteri adalah menteri yang menyelenggarakan  urusan pemerintahan di bidang Perdagangan.   56. Petugas Pengawas Perdagangan adalah pegawai  negeri sipil pada unit yang menyelenggarakan  urusan pemerintahan di bida ng Perdagangan baik  di pusat maupun daerah yang ditunjuk untuk  melaksanakan pengawasan terhadap kegiatan  Perdagangan.   57. Penyidik Pegawai Negeri Sipil Perdagangan yang  selanjutnya disebut PPNS  DAG adalah pegawai  negeri sipil tertentu sebagaimana dimaksud dalam  Kitab Undang  Undang Hukum Acara Pidana baik  yang ada di pusat maupun daerah yang diberi  wewenang khusus oleh Undang  Undang Nomor 7  Tahun 2014 tentang Perdagangan."
PP No 29 Tahun 2021,3002921,BAB I: KETENTUAN UMUM,300292101,PASAL 2,300292101002,"Lingkup pengaturan penyelenggaraan Perdagangan  dalam Peraturan Pemerintah ini  meliputi:   a. kebijakan dan pengendalian Ekspor dan Impor;   b. penggunaan atau kelengkapan label berbahasa  Indonesia;   c. Distribusi Barang;   d. sarana Perdagangan;   e. standardisasi;   f. pengembangan Ekspor;   g. metrologi legal; dan     2021, No.39  10   h. penga wasan kegiatan Perdagangan dan  pengawasan terhadap Barang yang ditetapkan  sebagai Barang dalam pengawasan.     BAB II : KEBIJAKAN DAN PENGENDALIAN EKSPOR DAN IMPOR"
PP No 29 Tahun 2021,3002921,BAB II: KEBIJAKAN DAN PENGENDALIAN EKSPOR DAN IMPOR,300292102,PASAL 3,300292102003,"(1) Kebijakan dan pengendalian di bidang Ekspor dan  Impor dilaksanakan oleh Menteri.   (2) Pelaksanaan kebijakan dan pengendalian Ekspor  dan Impor sebagaimana dimaksud pada ayat (1)  dilaksanakan oleh Menteri dalam bentuk:   a. persetujuan Ekspor;   b. persetujuan Impor;   c. Eksportir terdaftar;   d. Importir terdaftar;   e. Importir Produsen;   f. penen tuan tempat pengeluaran dan  pemasukan Barang;   g. jenis Barang;   h. kewenangan;   i. persyaratan Eksportir dan Importir;   j. tata cara permohonan perizinan Ekspor dan  Impor;   k. penerbitan perizinan Ekspor dan Impor;   l. verifikasi atau penelusuran teknis;   m. kewajiban Eksportir dan Importir;   n. larangan bagi Eksportir dan Importir;   o. pengawasan; dan   p. sanksi.    (3) Ketentuan lebih lanjut mengenai kebijakan dan  pengendalian di bidang Eksp or dan Impor  sebagaimana dimaksud pada ayat (1) diatur  dengan Peraturan Menteri.       2021, No.39  11 "
PP No 29 Tahun 2021,3002921,BAB II: KEBIJAKAN DAN PENGENDALIAN EKSPOR DAN IMPOR,300292102,PASAL 4,300292102004,"(1) Menteri dapat menetapkan pelaksanaan verifikasi  atau penelusuran teknis sebagaimana dimaksud  dalam Pasal 3 ayat (2) huruf l terhadap Barang  tertentu.   (2) Verifik asi atau penelusuran teknis sebagaimana  dimaksud pada ayat (1) dapat dikenakan              terhadap Barang tertentu dengan kriteria                    yang disepakati dalam rapat koordinasi di  kementerian yang menyelenggarakan koordinasi,  sinkronisasi, dan pengendalian urusan  kementerian dalam penyelenggaraan pemerintahan  di bidang perekonomian.   (3) Ketentuan lebih lanjut mengenai Barang tertentu  yang dapat dikenakan verifikasi atau penelusuran  teknis dan pelaksanaan verifikasi atau  penelusuran teknis diatur  dengan Peraturan  Menteri.   (4) Jenis Barang tertentu yang diatur berdasarkan  Peraturan Menteri sebagaimana dimaksud pada        ayat (3) dapat diubah berdasarkan keputusan  rapat koordinasi yang dipimpin oleh menteri yang  menyelenggarakan koordinasi, sinkron isasi,                dan pengendalian urusan kementerian                       dalam penyelenggaraan pemerintahan di bidang  perekonomian, yang dihadiri menteri/kepala  lembaga pemerintah nonkementerian atau pejabat  yang ditunjuk untuk mewakili yang diberikan   kewenangan untuk dan atas nama menteri/kepala  lembaga pemerintah nonkementerian."
PP No 29 Tahun 2021,3002921,BAB II: KEBIJAKAN DAN PENGENDALIAN EKSPOR DAN IMPOR,300292102,PASAL 5,300292102005,"(1) Eksportir dalam kegiatan Ekspor wajib memiliki  NIB.  (2) Dalam hal Ekspor tidak dilakukan untuk kegiatan  usaha, Eksportir tidak memerlukan NIB dan/atau  Perizinan B erusaha.   2021, No.39  12   (3) Terhadap kegiatan Ekspor tertentu, Eksportir wajib  memiliki Perizinan Berusaha dari Menteri.   (4) Perizinan Berusaha di bidang Ekspor sebagaimana  dimaksud pada ayat (3) terdiri dari:   a. Eksportir terdaftar; dan/atau   b. persetujuan Ekspor.   (5) Penerbitan persetujuan Ekspor oleh Menteri  dilaksanakan berdasarkan neraca komoditas.   (6) Dalam hal neraca komoditas sebagaimana  dimaksud pada ayat (5) belum ditetapkan,  penerbitan persetujuan Ekspor oleh Menteri akan  dilakukan berdasarkan ketentuan dan dat a yang  tersedia.   (7) Ketentuan lebih lanjut mengenai neraca komoditas  sebagaimana dimaksud pada ayat (5) diatur  dengan Peraturan Presiden.   (8) Ketentuan lebih lanjut mengenai:   a. Eksportir yang tidak memerlukan NIB  dan/atau Perizinan Berusaha sebagaimana  dimaksud pada ayat (2); dan   b. Perizinan Berusaha di bidang Ekspor  sebagaimana dimaksud pada ayat (4),   diatur dengan Peraturan Menteri."
PP No 29 Tahun 2021,3002921,BAB II: KEBIJAKAN DAN PENGENDALIAN EKSPOR DAN IMPOR,300292102,PASAL 6,300292102006,"(1) Importir dalam kegiatan Impor wajib memiliki NIB  yang berlaku sebagai Angka Pengenal Importir  (API).   (2) NIB yang berlaku sebagai Angka Pengenal Importir  (API) sebagaimana dimaksud pada ayat (1) terdiri  dari:  a. Angka Pengenal Importir Umum (API  U); dan   b. Angka Pengenal Importir Produsen (API  P).  (3) Terhadap kegiatan Impor tertentu, Importir wajib  memiliki Pe rizinan Berusaha dari Menteri.   (4) Dalam hal Impor tidak dilakukan untuk kegiatan  usaha, Importir tidak memerlukan NIB dan/atau  2021, No.39  13   Perizinan Berusaha.   (5) Perizinan Berusaha di bidang Impor sebagaimana  dimaksud pada ayat (3) terdiri dari:   a. Importir terdafta r;  b. Importir Produsen; dan/atau   c. persetujuan Impor.   (6) Penerbitan persetujuan Impor oleh Menteri  dilaksanakan berdasarkan neraca komoditas.   (7) Dalam hal neraca komoditas sebagaimana  dimaksud pada ayat (6) belum ditetapkan,  penerbitan persetujuan Impo r oleh Menteri akan  dilakukan berdasarkan ketentuan dan data yang  tersedia.   (8) Ketentuan lebih lanjut mengenai neraca komoditas  sebagaimana dimaksud pada ayat (6) diatur  dengan Peraturan Presiden.   (9) Ketentuan lebih lanjut mengenai:   a. NIB yang berlaku s ebagai Angka Pengenal  Importir (API) sebagaimana dimaksud pada        ayat (1);   b. Importir yang tidak memerlukan NIB  dan/atau Perizinan Berusaha sebagaimana  dimaksud pada ayat (4); dan   c. Perizinan Berusaha di bidang Impor  sebagaimana dimaksud pada ayat (5 ),   diatur dengan Peraturan Menteri."
PP No 29 Tahun 2021,3002921,BAB II: KEBIJAKAN DAN PENGENDALIAN EKSPOR DAN IMPOR,300292102,PASAL 7,300292102007,"(1) Pengajuan Perizinan Berusaha dalam rangka  pengendalian Ekspor dan Impor dilakukan secara  elektronik melalui sistem tunggal yang  mengintegrasikan proses penanganan dokumen  yang terkait dengan Ekspor dan Imp or.  (2) Apabila permohonan Perizinan Berusaha  sebagaimana dimaksud pada ayat (1) tidak  lengkap, dilakukan penolakan secara elektronik  melalui sistem yang terintegrasi dalam jangka  2021, No.39  14   waktu yang ditetapkan sesuai dengan ketentuan  peraturan perundang  undangan.   (3) Apabila permohonan Perizinan Berusaha  sebagaimana dimaksud pada ayat (1) telah  lengkap, dilakukan penerbitan Perizinan Berusaha  secara elektronik melalui sistem yang terintegrasi  dalam jangka waktu yang ditetapkan sesuai  dengan ketentuan peraturan peru ndang   undangan.   (4) Apabila permohonan Perizinan Berusaha  sebagaimana dimaksud pada ayat (1) telah  lengkap, namun Perizinan Berusaha belum  diterbitkan dalam jangka waktu yang ditetapkan  sesuai dengan ketentuan peraturan perundang   undangan, dilakukan penerb itan Perizinan  Berusaha secara otomatis melalui sistem yang  terintegrasi.   (5) Dalam hal terjadi keadaan kahar yang  mengakibatkan sistem yang terintegrasi tidak  berfungsi, permohonan Perizinan Berusaha dalam  rangka pengendalian Ekspor dan Impor  sebagaimana dimaksud pada        ayat (1) dapat  disampaikan secara manual kepada Menteri.   (6) Ketentuan mengenai permohonan Perizinan  Berusaha dalam hal terjadi keadaan kahar  sebagaimana dimaksud pada ayat (5) diatur  dengan Peraturan Menteri."
PP No 29 Tahun 2021,3002921,BAB II: KEBIJAKAN DAN PENGENDALIAN EKSPOR DAN IMPOR,300292102,PASAL 8,300292102008,"(1) Dalam rangk a peningkatan dan pengembangan  produk invensi dan inovasi nasional yang diekspor  ke luar negeri, Menteri dapat memberikan fasilitas:   a. pembiayaan;   b. penjaminan;   c. asuransi Ekspor;   d. pemasaran; dan/atau   e. insentif prosedural lainnya.   2021, No.39  15   (2) Dalam memberik an fasilitas sebagaimana  dimaksud pada ayat (1), Menteri dapat bekerja  sama dengan Pemerintah Daerah, perguruan  tinggi, dunia usaha, asosiasi, dan pemangku  kepentingan lainnya.   (3) Menteri dapat menetapkan produk invensi dan  inovasi nasional yang dapat die kspor ke luar negeri  sebagaimana dimaksud pada ayat (1)."
PP No 29 Tahun 2021,3002921,BAB II: KEBIJAKAN DAN PENGENDALIAN EKSPOR DAN IMPOR,300292102,PASAL 9,300292102009,"(1) Setiap Importir wajib mengimpor Barang dalam  keadaan baru.   (2) Dalam hal tertentu, Menteri dapat menetapkan  Barang yang diimpor dalam keadaan tidak baru  berdasarkan:   a. peraturan perund ang undangan;   b. kewenangan Menteri; dan/atau   c. usulan atau pertimbangan teknis dari instansi  pemerintah lainnya.   (3) Ketentuan lebih lanjut mengenai Barang yang  diimpor dalam keadaan tidak baru sebagaimana  dimaksud pada ayat (2) diatur dengan Peraturan  Menteri.   (4) Jenis Barang yang diatur berdasarkan Peraturan  Menteri sebagaimana dimaksud pada ayat (3)  dapat diubah berdasarkan keputusan rapat  koordinasi yang dipimpin oleh menteri yang  menyelenggarakan koordinasi, sinkronisasi, dan  pengendalian urusan kem enterian dalam  penyelenggaraan pemerintahan di bidang  perekonomian, yang dihadiri menteri/kepala  lembaga pemerintah nonkementerian atau pejabat  yang ditunjuk untuk mewakili yang diberikan  kewenangan untuk dan atas nama menteri/kepala  lembaga pemerintah non kementerian.       2021, No.39  16 "
PP No 29 Tahun 2021,3002921,BAB II: KEBIJAKAN DAN PENGENDALIAN EKSPOR DAN IMPOR,300292102,PASAL 10,300292102010,"(1) Eksportir dilarang mengekspor Barang yang  ditetapkan sebagai Barang yang dilarang untuk  diekspor.   (2) Importir dilarang mengimpor Barang yang  ditetapkan sebagai Barang yang dilarang untuk  diimpor.   (3) Barang yang dilarang untuk diekspor sebagaimana  dimaksud pada ayat (1) dan Barang yang dilarang  untuk diimpor sebagaimana dimaksud pada ayat  (2) harus memenuhi kriteria:   a. terkait dengan perlindungan terhadap  kesehatan, keselamatan manusia, hewan,  ikan, tumbuhan, dan lingkungan hid up;  b. terkait dengan keamanan nasional,  kepentingan nasional, atau kepentingan  umum, termasuk sosial, budaya, dan moral  masyarakat; dan/atau   c. termasuk tumbuhan alam dan satwa liar yang  perlu dijaga kelestariannya.   (4) Ketentuan lebih lanjut mengenai Bar ang yang  dilarang untuk diekspor sebagaimana dimaksud  pada ayat (1) dan Barang yang dilarang untuk  diimpor sebagaimana dimaksud pada ayat (2)  diatur dengan Peraturan Menteri.   (5) Jenis Barang yang dilarang untuk diekspor dan  Barang yang dilarang untuk diim por berdasarkan  Peraturan Menteri sebagaimana dimaksud pada  ayat (4) dapat diubah berdasarkan keputusan  rapat koordinasi yang dipimpin oleh menteri yang  menyelenggarakan koordinasi, sinkronisasi, dan  pengendalian urusan kementerian dalam  penyelenggaraan pe merintahan di bidang  perekonomian, yang dihadiri menteri/kepala  lembaga pemerintahan nonkementerian atau  pejabat yang ditunjuk untuk mewakili yang  diberikan kewenangan untuk dan atas nama  2021, No.39  17   menteri/kepala lembaga pemerintah  nonkementerian."
