judul,Judul_id,Pasal,Pasal_id,Content
PP No 41 Tahun 2003,3004103,PASAL 1,300410300001,"Kedudukan, tugas, da n kewenangan Menteri Keuangan di bidang  pembinaan dan pengawasan BUMN sebagian dilimpahkan kepada Menteri  Negara Badan Usaha Milik Negara."
PP No 41 Tahun 2003,3004103,PASAL 2,300410300002,"Kedudukan, tugas dan kewenangan Menteri Keuangan yang dilimpahkan  kepada Menteri Negara Badan Usaha Milik Negara sebagaimana dimaksud  dalam Pasal 1 adalah yang mewakili Pemerintah selaku:   a.Pemegang Saham atau Rapat Umum Pemegang Saham (RUPS) sebagaimana  diatur dalam Peraturan Pemerintah Nomor 12 Tahun 1998 tentang  Perusahaan Perseroan (PERSERO) sebagaimana te lah diubah dengan  Peraturan Pemerintah Nomor 45 Tahun 2001 dan Perseroan Terbatas  yang sebagian sahamnya dimiliki oleh Negara Republik Indonesia;   b.Wakil Pemerintah pada Perusahaan Umum (PERUM) sebagaimana diatur  dalam Peraturan Pemerintah Nomor 13 Tahun 1 998 tentang  Perusahaan Umum (PERUM); dan   c.Pembina Keuangan pada Perusahaan Jawatan (PERJAN) sebagaimana  diatur dalam Peraturan Pemerintah Nomor 6 Tahun 2000 tentang  Perusahaan Jawatan (PERJAN)."
PP No 41 Tahun 2003,3004103,PASAL 3,300410300003,"(1)Pelimpahan kedudukan, tugas dan kewenangan Men teri Keuangan  sebagaimana dimaksud dalam Pasal 1 tidak meliputi:    a.penatausahaan setiap penyertaan modal Negara berikut  perubahannya ke dalam PERSERO/Perseroan Terbatas dan  PERUM, serta kegiatan penatausahaan kekayaan Negara yang  dimanfaatkan oleh PERJAN;    b.pengusulan setiap penyertaan modal Negara ke dalam  PERSERO/Perseroan Terbatas dan PERUM yang dananya berasal  dari Anggaran Pendapatan dan Belanja Negara, serta  pemanfaatan kekayaan Negara dalam PERJAN;   c.pendirian PERSERO, PERUM, atau PERJAN dan perub ahan bentuk  hukum PERJAN.   (2)Dalam melaksanakan kedudukan, tugas dan kewenangan sebagaimana  dimaksud dalam Pasal 2, Menteri Negara Badan Usaha Milik Negara  wajib memperoleh persetujuan Menteri Keuangan terlebih dahulu,  dalam hal penggunaan sisa penerimaan PERJAN pada akhir tahun  anggaran."
PP No 41 Tahun 2003,3004103,PASAL 4,300410300004,"Dengan berlakunya Peraturan Pemerintah ini, maka Peraturan  Pemerintah Nomor 64 Tahun 2001 tentang Pengalihan Kedudukan, Tugas  dan Kewenangan Menteri Keuangan pada Perusahaan Perseroan (PERSERO),  Perusahaan Umum (PERUM) dan Perusahaan Jawatan (PERJAN) kepad a  Menteri Negara Badan Usaha Milik Negara, dinyatakan tidak berlaku."
PP No 41 Tahun 2003,3004103,PASAL 5,300410300005,"(1)Segala peraturan pelaksanaan Peraturan Pemerintah Nomor 12 Tahun  1998 tentang Perusahaan Perseroan (PERSERO) sebagaimana telah  diubah dengan Peraturan Pemerintah Nomor 45 Ta hun 2001  sepanjang tidak bertentangan atau belum diubah sesuai dengan  Peraturan Pemerintah ini, dinyatakan tetap berlaku.   (2)Segala ketentuan pelaksanaan Peraturan Pemerintah Nomor 64 Tahun  2001 tentang Pengalihan Kedudukan, Tugas dan Kewenangan Menteri  Keuangan pada Perusahaan Perseroan (PERSERO), Perusahaan Umum  (PERUM) dan Perusahaan Jawatan (PERJAN) kepada Menteri Negara  Badan Usaha Milik Negara, tetap berlaku sepanjang belum diatur  berdasarkan Peraturan Pemerintah ini."
PP No 41 Tahun 2003,3004103,PASAL 6,300410300006,Peraturan Pemerintah ini mulai berlaku pada tanggal diundangkan.
PP No 64 Tahun 2023,3006423,PASAL 1,300642300001,Negara Republik Indonesia melakukan penambahan penyertaan modal negara ke dalam modal Perusahaan Umum (Perum) l€mbaga Penyelenggara Pelayanan Navigasi Penerbangan Indonesia yang didirikan berdasarkan Peraturan Pemerintah Nomor 77 Tahun 2Ol2tentang Perusahaan Umum (Perum) Iembaga Penyelenggara Pelayanan Navigasi Penerbangan Indonesia.
PP No 64 Tahun 2023,3006423,PASAL 2,300642300002,"(1) Nilai penambahan penyertaan modal negara sebagaimana dimaksud dalam Pasal 1 sebesar Rp892.009.996.471,77 (delapan ratus sembilan puluh dua miliar sembilan juta sembilan ratus sembilan puluh enam ribu empat ratus tujuh puluh satu rupiah tujuh puluh tujuh sen). l2l Penambahan penyertaan modal negara sebagaimana dimaksud pada ayat (1) berasal dari pengalihan Barang Milik Negara pada Kementerian Perhubungan dengan rincian sebagaimana tercantum dalam Lampiran yang merupakan bagran tidak terpisahkan dari Peraturan Pemerintah ini."
PP No 64 Tahun 2023,3006423,PASAL 3,300642300003,Peraturan Pemerintah ini mulai berlaku pada tanggal diundangkan. SK No 167384AAgarFRESIDEN REPUELIK INDONESIA 5 
PP No 35 Tahun 2021,3003521,PASAL 37,300352100037,"(1) Pengusaha, Pekerja/Buruh, Serikat Pekerja/Serikat  Buruh, dan Pemerintah harus mengupayakan agar  tidak terjadi Pemutusan Hubungan Kerja.   (2) Dalam hal Pemutusan Hubungan Kerja tidak dapat  dihindari, maksud dan alasan Pemutusan  Hubungan Kerja diberitahukan oleh Pengusaha  kepada Pekerja/Buruh dan/atau Serikat  Pekerja/Serikat Buruh di dalam Perusahaan  apabila Pekerja/Buruh yang bersangkutan  merupa kan anggota dari Serikat Pekerja/Serikat  Buruh.   (3) Pemberitahuan Pemutusan Hubungan Kerja dibuat  dalam bentuk surat pemberitahuan dan  disampaikan secara sah dan patut oleh Pengusaha  kepada Pekerja/Buruh dan/atau Serikat  Pekerja/Serikat Buruh paling lama  14 (empat  belas) hari kerja sebelum Pemutusan Hubungan  Kerja.   (4) Dalam hal Pemutusan Hubungan Kerja dilakukan  dalam masa percobaan, surat pemberitahuan  disampaikan paling lama  7 (tujuh) hari kerja  2021, No.45  25   sebelum Pemutusan Hubungan Kerja."
