judul,BAB,Pasal,Content
UU_No_13_Tahun_2003_cleaned.txt,BAB I: KETENTUAN UMUM,PASAL 1,"1 of 32 3/5/2010 1:19 AM ditjen Peraturan Perundang-undangan1. Ketenagakerjaan adalah segala hal yang berhubungan dengan tenaga kerja pada waktu sebelum, selama, dan sesudah masa kerja. 2. Tenaga kerja adalah setiap orang yang mampu melakukan pekerjaan guna menghasilkan barang dan/atau jasa baik untuk memenuhi kebutuhan sendiri maupun untuk masyarakat. 3. Pekerja/buruh adalah setiap orang yang bekerja dengan menerima upah atau imbalan dalam bentuk lain. 4. Pemberi kerja adalah orang perseorangan, pengusaha, badan hukum, atau badan-badan lainnya yang mempekerjakan tenaga kerja dengan membayar upah atau imbalan dalam bentuk lain. 5. Pengusaha adalah: a. orang perseorangan, persekutuan, atau badan hukum yang menjalankan suatu perusahaan milik sendiri; b. orang perseorangan, persekutuan, atau badan hukum yang secara berdiri sendiri menjalankan perusahaan bukan miliknya; c. orang perseorangan, persekutuan, atau badan hukum yang berada di Indonesia mewakili perusahaan sebagaimana dimaksud dalam huruf a dan b yang berkedudukan di luar wilayah Indonesia. 6. Perusahaan adalah: a. setiap bentuk usaha yang berbadan hukum atau tidak, milik orang perseorangan, milik persekutuan, atau milik badan hukum, baik milik swasta maupun milik negara yang mempekerjakan pekerja/buruh dengan membayar upah atau imbalan dalam bentuk lain; b. usaha-usaha sosial dan usaha-usaha lain yang mempunyai pengurus dan mempekerjakan orang lain dengan membayar upah atau imbalan dalam bentuk lain. 7. Perencanaan tenaga kerja adalah proses penyusunan rencana ketenagakerjaan secara sistematis yang dijadikan dasar dan acuan dalam penyusunan kebijakan, strategi, dan pelaksanaan program pembangunan ketenagakerjaan yang berkesinambungan. 8. Informasi ketenagakerjaan adalah gabungan, rangkaian, dan analisis data yang berbentuk angka yang telah diolah, naskah dan dokumen yang mempunyai arti, nilai dan makna tertentu mengenai ketenagakerjaan. 9. Pelatihan kerja adalah keseluruhan kegiatan untuk memberi, memperoleh, meningkatkan, serta mengembangkan kompetensi kerja, produktivitas, disiplin, sikap, dan etos kerja pada tingkat keterampilan dan keahlian tertentu sesuai dengan jenjang dan kualifikasi jabatan atau pekerjaan. 10. Kompetensi kerja adalah kemampuan kerja setiap individu yang mencakup aspek pengetahuan, keterampilan, dan sikap kerja yang sesuai dengan standar yang ditetapkan. 11. Pemagangan adalah bagian dari sistem pelatihan kerja yang diselenggarakan secara terpadu antara pelatihan di lembaga pelatihan dengan bekerja secara langsung di bawah bimbingan dan pengawasan instruktur atau pekerja/buruh yang lebih berpengalaman, dalam proses produksi barang dan/atau jasa di perusahaan, dalam rangka menguasai keterampilan atau keahlian tertentu. 12. Pelayanan penempatan tenaga kerja adalah kegiatan untuk mempertemukan tenaga kerja dengan pemberi kerja, sehingga tenaga kerja dapat memperoleh pekerjaan yang sesuai dengan bakat, minat, dan kemampuannya, dan pemberi kerja dapat memperoleh tenaga kerja yang sesuai dengan kebutuhannya. 13. Tenaga kerja asing adalah warga negara asing pemegang visa dengan maksud bekerja di wilayah Indonesia. 14. Perjanjian kerja adalah perjanjian antara pekerja/buruh dengan pengusaha atau pemberi kerja yang memuat syaratsyarat kerja, hak, dan kewajiban para pihak. 15. Hubungan kerja adalah hubungan antara pengusaha dengan pekerja/buruh berdasarkan perjanjian kerja, yang mempunyai unsur pekerjaan, upah, dan perintah. 16. Hubungan industrial adalah suatu sistem hubungan yang terbentuk antara para pelaku dalam proses produksi barang dan/atau jasa yang terdiri dari unsur pengusaha, pekerja/buruh, dan pemerintah yang didasarkan pada nilainilai Pancasila dan Undang-Undang Dasar Negara Republik Indonesia Tahun 1945. 17. Serikat pekerja/serikat buruh adalah organisasi yang dibentuk dari, oleh, dan untuk pekerja/buruh baik di perusahaan maupun di luar perusahaan, yang bersifat bebas, terbuka, mandiri, demokratis, dan bertanggung jawab guna memperjuangkan, membela serta melindungi hak dan kepentingan pekerja/buruh serta meningkatkan kesejahteraan pekerja/buruh dan keluarganya. 18. Lembaga kerja sama bipartit adalah forum komunikasi dan konsultasi mengenai hal-hal yang berkaitan dengan hubungan industrial di satu perusahaan yang anggotanya terdiri dari pengusaha dan serikat pekerja/serikat buruh yang sudah tercatat instansi yang bertanggung jawab di bidang ketenagakerjaan atau unsur pekerja/buruh. 19. Lembaga kerja sama tripartit adalah forum komunikasi, konsultasi dan musyawarah tentang masalah ketenagakerjaan yang anggotanya terdiri dari unsur organisasi pengusaha, serikat pekerja/serikat buruh, dan pemerintah. 20. Peraturan perusahaan adalah peraturan yang dibuat secara tertulis oleh pengusaha yang memuat syaratsyarat kerja dan tata tertib perusahaan. 21 Perjanjian kerja bersama adalah perjanjian yang merupakan hasil perundingan antara serikat pekerja/serikat buruh atau beberapa serikat pekerja/serikat buruh yang tercatat pada instansi yang bertanggung jawab di bidang ketenagakerjaan dengan pengusaha, atau beberapa pengusaha atau perkumpulan pengusaha yang memuat syaratsyarat kerja, hak dan kewajiban kedua belah pihak. 22. Perselisihan hubungan industrial adalah perbedaan pendapat yang mengakibatkan pertentangan antara pengusaha atau gabungan pengusaha dengan pekerja/buruh atau serikat pekerja/serikat buruh karena adanya perselisihan ditjen Peraturan Perundang-undanganpekerja/serikat buruh hanya dalam satu perusahaan. 23. Mogok kerja adalah tindakan pekerja/buruh yang direncanakan dan dilaksanakan secara bersama-sama dan/atau oleh serikat pekerja/serikat buruh untuk menghentikan atau memperlambat pekerjaan. 24. Penutupan perusahaan (lock out) adalah tindakan pengusaha untuk menolak pekerja/buruh seluruhnya atau sebagian untuk menjalankan pekerjaan. 25. Pemutusan hubungan kerja adalah pengakhiran hubungan kerja karena suatu hal tertentu yang mengakibatkan berakhirnya hak dan kewajiban antara pekerja/buruh dan pengusaha. 26. Anak adalah setiap orang yang berumur dibawah 18 (delapan belas) tahun. 27. Siang hari adalah waktu antara pukul 06.00 sampai dengan pukul 18.00. 28. 1 (satu) hari adalah waktu selama 24 (dua puluh empat) jam. 29. Seminggu adalah waktu selama 7 (tujuh) hari. 30. Upah adalah hak pekerja/buruh yang diterima dan dinyatakan dalam bentuk uang sebagai imbalan dari pengusaha atau pemberi kerja kepada pekerja/buruh yang ditetapkan dan dibayarkanmenurut suatu perjanjian kerja, kesepakatan, atau peraturan perundang-undangan, termasuk tunjangan bagi pekerja/buruh dan keluarganya atas suatu pekerjaan dan/atau jasa yang telah atau akan dilakukan. 31. Kesejahteraan pekerja/buruh adalah suatu pemenuhan kebutuhan dan/atau keperluan yang bersifat jasmaniah dan rohaniah, baik di dalam maupun di luar hubungan kerja, yang secara langsung atau tidak langsung dapat mempertinggi produktivitas kerja dalam lingkungan kerja yang aman dan sehat. 32. Pengawasan ketenagakerjaan adalah kegiatan mengawasi dan menegakkan pelaksanaan peraturan perundang- undangan di bidang ketenagakerjaan. 33. Menteri adalah menteri yang bertanggung jawab di bidang ketenagakerjaan. BAB II : LANDASAN, ASAS, DAN TUJUAN"
UU_No_13_Tahun_2003_cleaned.txt,"BAB II: LANDASAN, ASAS, DAN TUJUAN",PASAL 2,Pembangunan ketenagakerjaan berlandaskan Pancasila dan Undang-Undang Dasar Negara Republik Indonesia Tahun 1945.
UU_No_13_Tahun_2003_cleaned.txt,"BAB II: LANDASAN, ASAS, DAN TUJUAN",PASAL 3,Pembangunan ketenagakerjaan diselenggarakan atas asas keterpaduan dengan melalui koordinasi fungsional lintas sektoral pusat dan daerah.
UU_No_13_Tahun_2003_cleaned.txt,"BAB II: LANDASAN, ASAS, DAN TUJUAN",PASAL 4,Pembangunan ketenagakerjaan bertujuan: a. memberdayakan dan mendayagunakan tenaga kerja secara optimal dan manusiawi; b. mewujudkan pemerataan kesempatan kerja dan penyediaan tenaga kerja yang sesuai dengan kebutuhan pembangunan nasional dan daerah; c. memberikan perlindungan kepada tenaga kerja dalam mewujudkan kesejahteraan; dan d. meningkatkan kesejahteraan tenaga kerja dan keluarganya. BAB III : KESEMPATAN DAN PERLAKUAN YANG SAMA
UU_No_13_Tahun_2003_cleaned.txt,BAB III: KESEMPATAN DAN PERLAKUAN YANG SAMA,PASAL 5,Setiap tenaga kerja memiliki kesempatan yang sama tanpa diskriminasi untuk memperoleh pekerjaan.
UU_No_13_Tahun_2003_cleaned.txt,BAB III: KESEMPATAN DAN PERLAKUAN YANG SAMA,PASAL 6,Setiap pekerja/buruh berhak memperoleh perlakuan yang sama tanpa diskriminasi dari pengusaha. BAB IV : PERENCANAAN TENAGA KERJA DAN INFORMASI KETENAGAKERJAAN
UU_No_13_Tahun_2003_cleaned.txt,BAB IV: PERENCANAAN TENAGA KERJA DAN,PASAL 7,"(1) Dalam rangka pembangunan ketenagakerjaan, pemerintah menetapkan kebijakan dan menyusun perencanaan tenaga kerja. (2) Perencanaan tenaga kerja meliputi: a. perencanaan tenaga kerja makro; dan b. perencanaan tenaga kerja mikro. (3) Dalam penyusunan kebijakan, strategi, dan pelaksanaan program pembangunan ketenagakerjaan yang berkesinambungan, pemerintah harus berpedoman pada perencanaan tenaga kerja sebagaimana dimaksud dalam ayat ditjen Peratura"
UU_No_13_Tahun_2003_cleaned.txt,BAB IV: PERENCANAAN TENAGA KERJA DAN,PASAL 8,"n Perundang-undanganPasal 8 (1) Perencanaan tenaga kerja disusun atas dasar informasi ketenagakerjaan yang antara lain meliputi: a. penduduk dan tenaga kerja; b. kesempatan kerja; c. pelatihan kerja termasuk kompetensi kerja; d. produktivitas tenaga kerja; e. hubungan industrial; f. kondisi lingkungan kerja; g. pengupahan dan kesejahteraan tenaga kerja; dan h. jaminan sosial tenaga kerja. (2) Informasi ketenagakerjaan sebagaimana dimaksud dalam ayat (1), diperoleh dari semua pihak yang terkait, baik instansi pemerintah maupun swasta. (3) Ketentuan mengenai tata cara memperoleh informasi ketenagakerjaan dan penyusunan serta pelaksanaan perencanaan tenaga kerja sebagaimana dimaksud dalam ayat (1) diatur dengan Peraturan Pemerintah. BAB V : PELATIHAN KERJA"
UU_No_13_Tahun_2003_cleaned.txt,BAB V: PELATIHAN KERJA,PASAL 9,"Pelatihan kerja diselenggarakan dan diarahkan untuk membekali, meningkatkan, dan mengembangkan kompetensi kerja guna meningkatkan kemampuan, produktivitas, dan kesejahteraan."
UU_No_13_Tahun_2003_cleaned.txt,BAB V: PELATIHAN KERJA,PASAL 10,"(1) Pelatihan kerja dilaksanakan dengan memperhatikan kebutuhan pasar kerja dan dunia usaha, baik di dalam maupun di luar hubungan kerja. (2) Pelatihan kerja diselenggarakan berdasarkan program pelatihan yang mengacu pada standar kompetensi kerja. (3) Pelatihan kerja dapat dilakukan secara berjenjang. (4) Ketentuan mengenai tata cara penetapan standar kompetensi kerja sebagaimana dimaksud dalam ayat (2) diatur dengan Keputusan Menteri."
UU_No_13_Tahun_2003_cleaned.txt,BAB V: PELATIHAN KERJA,PASAL 11,"Setiap tenaga kerja berhak untuk memperoleh dan/atau meningkatkan dan/atau mengembangkan kompetensi kerja sesuai dengan bakat, minat, dan kemampuannya melalui pelatihan kerja."
UU_No_13_Tahun_2003_cleaned.txt,BAB V: PELATIHAN KERJA,PASAL 12,(1) Pengusaha bertanggung jawab atas peningkatan dan/atau pengembangan kompetensi pekerjanya melalui pelatihan kerja. (2) Peningkatan dan/atau pengembangan kompetensi sebagaimana dimaksud dalam ayat (1) diwajibkan bagi pengusaha yang memenuhi persyaratan yang diatur dengan Keputusan Menteri. (3) Setiap pekerja/buruh memiliki kesempatan yang sama untuk mengikuti pelatihan kerja sesuai dengan bidang tugasnya.
UU_No_13_Tahun_2003_cleaned.txt,BAB V: PELATIHAN KERJA,PASAL 13,(1) Pelatihan kerja diselenggarakan oleh lembaga pelatihan kerja pemerintah dan/atau lembaga pelatihan kerja swasta. (2) Pelatihan kerja dapat diselenggarakan di tempat pelatihan atau tempat kerja. (3) Lembaga pelatihan kerja pemerintah sebagaimana dimaksud dalam ayat (1) dalam menyelenggarakan pelatihan kerja dapat bekerja sama dengan swasta.
UU_No_13_Tahun_2003_cleaned.txt,BAB V: PELATIHAN KERJA,PASAL 14,(1) Lembaga pelatihan kerja swasta dapat berbentuk badan hukum Indonesia atau perorangan. (2) Lembaga pelatihan kerja swasta sebagaimana dimaksud dalam ayat (1) wajib memperoleh izin atau mendaftar ke instansi yang bertanggung jawab di bidang ketenagakerjaan di kabupaten/kota. (3) Lembaga pelatihan kerja yang diselenggarakan oleh instansi pemerintah mendaftarkan kegiatannya kepada instansi yang bertanggung jawab di bidang ketenagakerjaan di kabupaten/kota. (4) Ketentuan mengenai tata cara perizinan dan pendaftaran lembaga pelatihan kerja sebagaimana dimaksud dalam ayat (2) dan ayat (3) diatur dengan Keputusan Menteri.
UU_No_13_Tahun_2003_cleaned.txt,BAB V: PELATIHAN KERJA,PASAL 15,Penyelenggara pelatihan kerja wajib memenuhi persyaratan: a. tersedianya tenaga kepelatihan; ditjen Peraturan Perundang-undanganc. tersedianya sarana dan prasarana pelatihan kerja; dan d. tersedianya dana bagi kelangsungan kegiatan penyelenggaraan pelatihan kerja.
