judul,Judul_id,Pasal,Pasal_id,Content
UU No 18 Tahun 2023,1001823,PASAL 1,100182300001,Pertanggungiawaban atas pelaksanaan Anggaran Pendapatan dan Belanja Negara Tahun Anggaran 2A22 tertuang dalam Laporan Keuangan Pemerintah Pusat Tahun 2022.
UU No 18 Tahun 2023,1001823,PASAL 2,100182300002,"(1) Laporan Keuangan Pemerintah Pusat sebagaimana dimaksud dalam Pasal 1, terdiri atas: a. Laporan Realisasi Anggaran Pendapatan dan Belanja Negara Tahun Anggaran 2022; b. Laporan Perubahan Saldo Anggaran Lebih Tahun Anggaran 2022; c. Neraca per 31 Desember 2022; d. Laporan Operasional Tahun Anggaran 2A22; e. Laporan Arus Kas Tahun Anggaran 2022; SK No 172307 A REPUBUK INDONESIA4 f. Laporan Perubahan Ekuitas Tahun Anggaran 2022; dan g. Catatan atas Laporan Keuangan. (21 Laporan Keuangan Pemerintah Pusat sebagaimana dimaksud pada ayat (1) merupakan laporan keuangan yang disusun dan disajikan sesuai dengan Standar Akuntansi Pemerintahan berbasis akrual. (3) Laporan Keuangan Pemerintah Pusat sebagaimana dimaksud pada ayat (1) dilampiri mengenai Ikhtisar Laporan Keuangan Perusahaan Negara dan Badan Lainnya. (4) Laporan Keuangan Pemerintah Pusat sebagaimana dimaksud pada ayat (1) dan ayat (3) tercantum dalam Lampiran yang merupakan bagian tidak terpisahkan dari UndangUndang ini."
UU No 18 Tahun 2023,1001823,PASAL 3,100182300003,"Laporan Realisasi Anggaran Pendapatan dan Belanja Negara Tahun Anggaran 2022 sebagaimana dimaksud dalam Pasal 2 ayat (1) huruf a memberikan informasi keuangan sebagai berikut: a. realisasi Pendapatan Negara Tahun Anggaran 2022 sebesar Rp2.635.843.O46.O64.472,OO (dua kuadriliun enam ratus tiga puluh lima triliun delapan ratus empat puluh tiga miliar empat puluh enam juta enam puluh empat ribu empat ratus tujuh puluh dua rupiah) yang berarti 116,317o (seratus enam belas koma tiga satu persen) dari Anggaran Pendapatan dalam Anggaran Pendapatan dan Belanja Negara Tahun Anggaran 2022 sebesar Rp2.266.198.933.402.000,00 (dua kuadriliun dua ratus enam puluh enam triliun seratus sembilan puluh delapan miliar sembilan ratus tiga puluh tiga juta empat ratus dua ribu rupiah); b. realisasi Belanja Negara Tahun Anggaran 2022 sebesar Rp3.096.262.719.1O2.674,00 (tiga kuadriliun sembilan puluh enam triliun dua ratus enam puluh dua miliar tujuh ratus sembilan belas juta seratus dua ribu enam ratus tujuh puluh empat rupiah) yang berarti 99,670/o (sembilan puluh sembilan koma enam tujuh persen) dari Anggaran Belanja dalam Anggaran Pendapatan dan Belanja Negara Tahun Anggaran 2022 sebesar RpS. 106.425.255.592.000,00 (tiga kuadriliun seratus enam triliun empat ratus dua puluh lima miliar dua ratus lima puluh lima juta lima ratus sembilan puluh dua ribu rupiah); SK No 172306Ac. berdasarkan REPUBLIK INDONESTA5 c. berdasarkan realisasi Pendapatan Negara sebagaimana dimaksud dalam huruf a dan realisasi Belanja Negara sebagaimana dimaksud dalam huruf b, terdapat realisasi Defisit Anggaran Tahun Anggaran 2022 sebesar Rp460.4 1 9.673.03 8.2O2,OO (empat ratus enam puluh triliun empat ratus sembilan belas miliar enam ratus tujuh puluh tiga juta tiga puluh delapan ribu dua ratus dua rupiah) yang berarti 54,8Oo/o (lima puluh empat koma delapan nol persen) dari estimasi defisit dalam Anggaran Pendapatan dan Belanja Negara Tahun Anggaran 2022 sebesar Rp84a.226.322.19O.O00,O0 (delapan ratus empat puluh triliun dua ratus dua puluh enam miliar tiga ratus dua puluh dua juta seratus sembilan puluh ribu rupiah); d. Pembiayaan untuk menutup realisasi Defisit Anggaran sebagaimana dimaksud dalam huruf c, sebesar Rp590.97S.140.09O.153,00 (lima ratus sembilan puluh triliun sembilan ratus tujuh puluh delapan miliar seratus empat puluh juta sembilan puluh ribu seratus lima puluh tiga rupiah) yang berarti 7o,34oh (tujuh puluh koma tiga empat persen) dari anggaran pembiayaan dalam Anggaran Pendapatan dan Belanja Negara Tahun Anggaran 2022 sebesar Rp84O.226.322.190.000,00 (delapan ratus empat puluh triliun dua ratus dua puluh enam miliar tiga ratus dua puluh dua juta seratus sembilan puluh ribu rupiah); e. berdasarkan realisasi Defisit Anggaran sebagaimana dimaksud dalam huruf c dan realisasi Pembiayaan sebagaimana dimaksud dalam huruf d, terdapat Sisa Lebih Pembiayaan Anggaran sebesar Rp13O,558.467.051.951,00 (seratus tiga puluh triliun lima ratus lima puluh delapan miliar empat ratus enam puluh tujuh juta lima puluh satu ribu sembilan ratus lima puluh satu rupiah); f. realisasi Pendapatan Negara sebagaimana dimaksud dalam huruf a, termasuk realisasi penerimaan minyak bumi dan gas alam serta pendapatan Badan Layanan Umum dari Kerja Sama Operasi yang dilaporkan berdasarkan asas neto. REPI.JBLTK INDONESIA6"
UU No 18 Tahun 2023,1001823,PASAL 4,100182300004,"Laporan Perubahan Saldo Anggaran Lebih Tahun Anggaran 2A22 sebagaimana dimaksud dalam Pasal 2 ayat (Ll huruf b memberikan informasi keuangan sebagai berikut: a. Saldo Anggaran Lebih Awal Tahun Anggaran 2022 sebesar Rp337.779.O06.818.346,O0 (tiga ratus tiga puluh tujuh triliun tujuh ratus tduh puluh sembilan miliar enam juta delapan ratus delapan belas ribu tiga ratus empat puluh enam rupiah); b. tidak terdapat Penggunaan Saldo Anggaran Lebih sebagai Penerimaan Pembiayaan Tahun Berjalan; c. Sisa Lebih Pembiayaan Anggaran Tahun Anggaran 2022 sebagaimana dimaksud dalam Pasal 3 huruf e sebesar Rp130.558.467.051.951,0O (seratus tiga puluh triliun lima ratus lima puluh delapan miliar empat ratus enam puluh tqiuh juta lima puluh satu ribu sembilan ratus lima puluh satu rupiah); d. berdasarkan Saldo Anggaran Lebih Awal Tahun Anggaran 2022 sebagaimana dimaksud dalam huruf a, Penggunaan Saldo Anggaran Lebih sebagai Penerimaan Pembiayaan Tahun Berjalan sebagaimana dimaksud dalam huruf b, dan Sisa Lebih Pembiayaan Anggaran Tahun Anggaran 2022 sebagaimana dimaksud dalam huruf c, terdapat Saldo Anggaran Irbih Sebelum Penyesuaian sebesar Rp468.337.473.870.297,OO (empat ratus enam puluh delapan triliun tiga ratus tiga puluh tujuh miliar empat ratus tujuh puluh tiga juta delapan ratus tujuh puluh ribu dua ratus sembilan puluh tujuh rupiah); e. penyesuaian Saldo Anggaran Lebih Tahun Anggaran 2022 sebesar Rp1O.619.682.449.104,00 (sepuluh triliun enam ratus sembilan belas miliar enam ratus delapan puluh dua juta empat ratus empat puluh sembilan ribu seratus empat rupiah); SK No 1723044 REPI,JBLIK INDONESIA7  f. berdasarkan Saldo Anggaran Lebih Sebelum Penyesuaian sebagaimana dimaksud dalam huruf d dan Penyesuaian Saldo Anggaran Lebih Tahun Anggaran 2022 sebagaimana dimaksud dalam huruf e, terdapat Saldo Anggaran Lebih Akhir Tahun Anggaran 2022 sebesar Rp478.957.L56.319.4O1,0O (empat ratus tujuh puluh delapan triliun sembilan ratus lima puluh tujuh miliar seratus lima puluh enam juta tiga ratus sembilan belas ribu empat ratus satu rupiah)."
UU No 18 Tahun 2023,1001823,PASAL 5,100182300005,"Neraca per 31 Desember 2022 sebagaimana dimaksud dalam Pasal 2 ayat (1) huruf c memberikan informasi keuangan sebagai berikut: a. jumlah Aset sebesar Rp12.325.45O.869.572.9O8,00 (dua belas kuadriliun tiga ratus dua puluh lima triliun empat ratus lima puluh miliar delapan ratus enam puluh sembilan juta lima ratus tujuh puluh dua ribu sembilan ratus delapan rupiah); b. jumlah Kewajiban sebesar Rp8.92O.557.813.O73.949,00 (delapan kuadriliun sembilan ratus dua puluh triliun lima ratus lima puluh tujuh miliar delapan ratus tiga belas juta tujuh puluh tiga ribu sembilan ratus empat puluh sembilan rupiah); c. jumlah Ekuitas sebesar Rp3.404.893.056.498.959,O0 (tiga kuadriliun empat ratus empat triliun delapan ratus sembilan puluh tiga miliar lima puluh enam juta empat ratus sembilan puluh delapan ribu sembilan ratus lima puluh sembilan rupiah)."
UU No 18 Tahun 2023,1001823,PASAL 6,100182300006,"Laporan Operasional Tahun Anggaran 2022 sebagairnana dimaksud dalam Pasal 2 ayat (1) huruf d memberikan informasi keuangan sebagai berikut: SK No 172303 AaPendapatan REPUBLIK TNDONESIA8 a. Pendapatan Operasional sebesar Rp2.913.654.063.761. 151,00 (dua kuadriliun sembilan ratus tiga belas triliun enam ratus lima puluh empat miliar enam puluh tiga juta tujuh ratus enam puluh satu ribu seratus lima puluh satu rupiah); b. Beban Operasional sebesar Rp3.150.204.520.263.628,00 (tiga kuadriliun seratus lima puluh triliun dua ratus empat miliar lima ratus dua puluh juta dua ratus enam puluh tiga ribu enam ratus dua puluh delapan rupiah); c. berdasarkan Pendapatan Operasional sebagaimana dimaksud dalam huruf a dan Beban Operasional sebagaimana dimaksud dalam huruf b, terdapat Defisit dari Kegiatan Operasional sebesar Rp236.550.456.502.477,OO (dua ratus tiga puluh enam triliun lima ratus lima puluh miliar empat ratus lima puluh enam juta lima ratus dua ribu empat ratus tujuh puluh tujuh rupiah); d. Defisit dari Kegiatan NonOperasional sebesar Rp243.721.982.514.215,00 (dua ratus empat puluh tiga triliun tujuh ratus dua puluh satu miliar sembilan ratus delapan puluh dua juta lima ratus empat belas ribu dua ratus lima belas mpiah); e. tidak terdapat Surplus/Defisit dari Pos Luar Biasa; f. berdasarkan Defisit dari Kegiatan Operasional sebagaimana dimaksud dalam huruf c, Defisit dari Kegiatan Non Operasional sebagaimana dimaksud dalam huruf d, dan Surplus/Defisit dari Pos Luar Biasa sebagaimana dimaksud dalam huruf e, terdapat Defisit Laporan Operasional Tahun Anggaran 2022 sebesar Rp48O.272.439.O16.692,OO (empat ratus delapan puluh triliun dua ratus tujuh puluh dua miliar empat ratus tiga puluh sembilan juta enam belas ribu enam ratus sembilan puluh dua rupiah). SK No 172302 AFRESIDEN"
UU No 18 Tahun 2023,1001823,PASAL 7,100182300007,"Laporan Arus Kas Tahun Anggaran 2022 sebagaimana dimaksud dalam Pasal 2 ayat (1) huruf e memberikan informasi keuangan sebagai berikut: a. jumlah Arus Kas Bersih dari Aktivitas Operasi sebesar minus Rp22O.433.644.891.532,00 (dua ratus dua puluh triliun empat ratus tiga puluh tiga miliar enam ratus empat puluh empat juta delapan ratus sembilan puluh satu ribu lima ratus tiga puluh dua rupiah); b. jumlah Arus Kas Bersih dari Aktivitas Investasi sebesar minus Rp347.174.O22.486.045,00 (tiga ratus empat puluh tujuh triliun seratus tujuh puluh empat miliar dua puluh dua juta empat ratus delapan puluh enam ribu empat puluh lima rupiah); c. jumlah Arus Kas Bersih dari Aktivitas Pendanaan sebesar Rp698. 1,66.134.429.528,00 (enam ratus sembilan puluh delapan triliun seratus enam puluh enam miliar seratus tiga puluh empat juta empat ratus dua puluh sembilan ribu lima ratus dua puluh delapan rupiah); d. jumlah Arus Kas Bersih dari Aktivitas Transitoris sebesar Rp2O.O42.387.123.266,00 (dua puluh triliun empat puluh dua miliar tiga ratus delapan puluh tujuh juta seratus dua puluh tiga ribu dua ratus enam puluh enam rupiah)."
UU No 18 Tahun 2023,1001823,PASAL 8,100182300008,"Laporan Perubahan Ekuitas Tahun Anggaran 2022 sebagaimana dimaksud dalam Pasal 2 ayat (1) huruf f memberikan informasi keuangan sebagai berikut: a. Ekuitas AwaI Tahun Anggaran 2022 sebesar Rp3.9 16.345. 179.380.43 1,00 (tiga kuadriliun sembilan ratus enam belas triliun tiga ratus empat puluh lima miliar seratus tujuh puluh sembilan juta tiga ratus delapan puluh ribu empat ratus tiga puluh satu rupiah); SK No 172325 Ab. Defisit 10  b. Defisit Laporan Operasional Tahun Anggaran 2022 sebagaimana dimaksud dalam Pasal 6 huruf f sebesar Rp48O.272.439.O16.692,OO (empat ratus delapan puluh triliun dua ratus tujuh puluh dua miliar empat ratus tiga puluh sembilan juta enam belas ribu enam ratus sembilan puluh dua rupiah); c. Koreksikoreksi yang Langsung Menambah/Mengurangi Ekuitas sebesar minus Rp31 .284.001.627.524,O0 (tiga puluh satu triliun dua ratus delapan puluh empat miliar satu juta enarn ratus dua puluh tujuh ribu lima ratus dua puluh empat rupiah); d. Transaksi Antar Entitas sebesar Rp104.3L7.762.744,00 (seratus empat miliar tiga ratus tujuh belas juta tujuh ratus enam puluh dua ribu tujuh ratus empat puluh empat rupiah); e. berdasarkan: 1. Ekuitas Awal Tahun Anggaran 2022 sebagaimana dimaksud dalam huruf a; 2. Defisit Laporan Operasional Tahun Anggaran 2022 sebagaimana dimaksud dalam huruf b; 3. Koreksikoreksi yang Langsung Menambah/Mengurangi Ekuitas sebagaimana dimaksud dalam huruf c; dan 4. Transaksi Antar Entitas sebagaimana dimaksud dalam huruf d, terdapat Ekuitas Akhir Tahun Anggaran 2022 sebesar Rp3.404.893.056.498.959,O0 (tiga kuadriliun empat ratus empat triliun delapan ratus sembilan puluh tiga miliar lima puluh enam juta empat ratus sembilan puluh delapan ribu sembilan ratus lima puluh sembilan rupiah). SK No 172324 A REPUELIK INDONESTA 11"
UU No 18 Tahun 2023,1001823,PASAL 9,100182300009,Catatan atas Laporan Keuangan sebagaimana dimaksud dalam Pasal 2 ayat (1) huruf g meliputi penjelasan atau daftar terinci atau analisis atas nilai suatu pos yang disajikan dalam: 1. Laporan Realisasi Anggaran Pendapatan dan Belanja Negara; 2.Laporan Perubahan Saldo Anggaran Lebih; 3. Neraca; 4 . Laporan Operasional; 5. Laporan Arus Kas; dan 6. Laporan Perubahan Ekuitas. 
UU No 18 Tahun 2023,1001823,Pasal 10,100182300010,"Saldo Anggaran Lebih dapat digunakan dalam hal realisasi anggaran pengeluaran melebihi realisasi anggaran penerimaan tahun anggaran berjalan, dan/atau terdapat pengembalian pendapatan tahuntahun yang lalu."
