BAB,BAB_id,Label
BAB I: KETENTUAN UMUM,200122201,BAB
BAB II: PENYUSUNAN DAN PERHITUNGAN KEBUTUHAN,200122202,BAB
BAB III: KETENTUAN PENUTUP,200122203,BAB
BAB I: KETENTUAN UMUM,213202101,BAB
BAB II: PENGANGKATAN DALAM JABATAN FUNGSIONAL PENATA,213202102,BAB
BAB III: KETENTUAN PENUTUP,213202103,BAB
"BAB I: KEDUDUKAN, TUGAS, DAN FUNGSI",213791501,BAB
BAB II: SUSUNAN ORGANISASI,213791502,BAB
BAB III: SEKRETARIAT KEMENTERIAN,213791503,BAB
BAB IV: DEPUTI BIDANG USAHA INDUSTRI AGRO DAN FARMASI,213791504,BAB
"BAB V: DEPUTI BIDANG USAHA ENERGI, LOGISTIK, KAWASAN , DAN",213791505,BAB
"BAB VI: DEPUTI BIDANG USAHA PE RTAMBANGA N,",213791506,BAB
BAB VII: DEPUTI BIDANG USAHA KONSTRUKSI DAN,213791507,BAB
"BAB VIII: DEPUTI BIDANG USAHA JASA KEUANGAN, JASA SURVEI, DAN",213791508,BAB
BAB IX: DEPUTI BIDANG RESTRUKTURISASI DAN PENGEMBANGAN USAHA,213791509,BAB
BAB X: DEPUTI BIDANG INFRASTRUKTUR BISNIS,213791510,BAB
BAB XI: INSPEKTORAT,213791511,BAB
BAB XII: STAF AHLI,213791512,BAB
BAB XIII: KELOMPOK JABATAN FUNGSIONAL,213791513,BAB
BAB XIV: TATA KERJA,213791514,BAB
"BAB XV: ESELON, PENGANGKATAN DAN PEMBERHENTIAN",213791515,BAB
BAB XVI: KETENTUAN LAIN -LAIN,213791516,BAB
BAB XVII: KETENTUAN PERALIHAN,213791517,BAB
BAB XVIII: KETENTUAN PENUTUP,213791518,BAB
BAB I: KETENTUAN UMUM,216131901,BAB
BAB II: PELAKSANAAN PENGADAAN BARANG DAN JASA,216131902,BAB
"BAB III: PENGADAAN UNTUK  BUMN TERBUKA, ANAK PERUSAHAAN",216131903,BAB
BAB IV: KETENTUAN LAIN -LAIN,216131904,BAB
BAB V: KETENTUAN PERALIHAN,216131905,BAB
BAB VI: KETENTUAN PENUTUP,216131906,BAB
BAB I: KETENTUAN UMUM,201762201,BAB
BAB II: PENANGANAN BANTUAN HUKUM YANG MENGARAH PADA,201762202,BAB
BAB III: PENANGANAN BANTUAN HUKUM YANG SEDANG DALAM,201762203,BAB
BAB IV: PELAKSANAAN BANTUAN HUKUM SETELAH ADANYA,201762204,BAB
"BAB V: KOORDINASI, KERJA SAM A, PEMBINAAN, DAN PENDANAAN",201762205,BAB
BAB VI: KETENTUAN LAIN -LAIN,201762206,BAB
BAB VII: KETENTUAN PENUTUP,201762207,BAB
BAB I: KETENTUAN UMUM,201832101,BAB
BAB II: PENGUSULAN TAMBAHAN PMN,201832102,BAB
BAB III: PELAPORAN PENGGUNAAN TAMBAHAN PMN,201832103,BAB
