judul,judul_id,Label
PERMEN BUMN No 12 Tahun 2022,2001222,DOKUMEN
PERMEN BUMN No 1320 Tahun 2021,2132021,DOKUMEN
PERMEN BUMN No 1379 Tahun 2015,2137915,DOKUMEN
PERMEN BUMN No 1613 Tahun 2019,2161319,DOKUMEN
PERMEN BUMN No 176 Tahun 2022,2017622,DOKUMEN
PERMEN BUMN No 183 Tahun 2021,2018321,DOKUMEN
PERMEN BUMN No 251 Tahun 2021,2025121,DOKUMEN
PERMEN BUMN No 261 Tahun 2023,2026123,DOKUMEN
PERMEN BUMN No 262 Tahun 2023,2026223,DOKUMEN
PERMEN BUMN No 263 Tahun 2023,2026323,DOKUMEN
PERMEN BUMN No 340 Tahun 2020,2034023,DOKUMEN
PERMEN BUMN No 438 Tahun 2021,2043821,DOKUMEN
PERMEN BUMN No 473 Tahun 2018,2047318,DOKUMEN
PERMEN BUMN No 576 Tahun 2022,2057622,DOKUMEN
PERMEN BUMN No 784 Tahun 2020,2078420,DOKUMEN
PERMEN BUMN No 815 Tahun 2021,2081521,DOKUMEN
PERMEN BUMN No 835 Tahun 2022,2083522,DOKUMEN
PERMEN BUMN No 934 Tahun 2021,2093421,DOKUMEN
PERMEN BUMN No 958 Tahun 2021 ,2095821,DOKUMEN
PERMEN BUMN No 961 Tahun 2022,2096122,DOKUMEN
PP No 29 Tahun 2021,3002921,DOKUMEN
PP No 33 Tahun 2005,3003305,DOKUMEN
PP No 4 Tahun 2003,3000403,DOKUMEN
PP No 34 Tahun 2021,3003421,DOKUMEN
PP No 35 Tahun 2021,3003521,DOKUMEN
PP No 36 Tahun 2021,3003621,DOKUMEN
PP No 37 Tahun 2021,3003721,DOKUMEN
PP No 50 Tahun 2012,3005012,DOKUMEN
UU No 13 Tahun 2003,1001303,DOKUMEN
UU No 14 Tahun 2019,1001419,DOKUMEN
UU No 18 Tahun 2017,1001817,DOKUMEN
UU No 19 Tahun 2003,1001903,DOKUMEN
UU No 21 Tahun 2000,1002100,DOKUMEN
UU No 2 Tahun 2004,1000204,DOKUMEN
UU No 40 Tahun 2004,1004004,DOKUMEN
UU No 40 Tahun 2007,1004007,DOKUMEN
UU No 5 Tahun 1999,1000599,DOKUMEN
UU No 8 Tahun 1999,1000899,DOKUMEN
PERMEN BUMN No 1147 Tahun 2017,2114717,DOKUMEN
PERMEN BUMN No 1196 Tahun 2019,2119619,DOKUMEN
PERMEN BUMN No 1701 Tahun 2015,2170115,DOKUMEN
PERMEN BUMN No 1702 Tahun 2015,2170215,DOKUMEN
PERMEN BUMN No 1760 Tahun 2014,2176014,DOKUMEN
PERMEN BUMN No 311 Tahun 2018,2031118,DOKUMEN
PERMEN BUMN No 413 Tahun 2014,2041314,DOKUMEN
PERMEN BUMN No 414 Tahun 2014,2041414,DOKUMEN
PERMEN BUMN No 939 Tahun 2022,2093922,DOKUMEN
PERMEN BUMN No 447 Tahun 2021 ,2044721,DOKUMEN
PERMEN BUMN No 46 Tahun 2018 ,2004618,DOKUMEN
PERMEN BUMN No 812 Tahun 2021 ,2081221,DOKUMEN
PP No 41 Tahun 2003,3004103,DOKUMEN
PP No 64 Tahun 2023,3006423,DOKUMEN
PP No 19 Tahun 1973,3001973,DOKUMEN
UU No 18 Tahun 2023,1001823,DOKUMEN
UU No 1 Tahun 1970,1000170,DOKUMEN
UU No 6 Tahun 2023,1000623,DOKUMEN
UU No 8 Tahun 2016,1000816,DOKUMEN
