Start_id,End_id,Type
2001222,200122201,CONTAINS
2001222,200122202,CONTAINS
2001222,200122203,CONTAINS
2132021,213202101,CONTAINS
2132021,213202102,CONTAINS
2132021,213202103,CONTAINS
2137915,213791501,CONTAINS
2137915,213791502,CONTAINS
2137915,213791503,CONTAINS
2137915,213791504,CONTAINS
2137915,213791505,CONTAINS
2137915,213791506,CONTAINS
2137915,213791507,CONTAINS
2137915,213791508,CONTAINS
2137915,213791509,CONTAINS
2137915,213791510,CONTAINS
2137915,213791511,CONTAINS
2137915,213791512,CONTAINS
2137915,213791513,CONTAINS
2137915,213791514,CONTAINS
2137915,213791515,CONTAINS
2137915,213791516,CONTAINS
2137915,213791517,CONTAINS
2137915,213791518,CONTAINS
2161319,216131901,CONTAINS
2161319,216131902,CONTAINS
2161319,216131903,CONTAINS
2161319,216131904,CONTAINS
2161319,216131905,CONTAINS
2161319,216131906,CONTAINS
2017622,201762201,CONTAINS
2017622,201762202,CONTAINS
2017622,201762203,CONTAINS
2017622,201762204,CONTAINS
2017622,201762205,CONTAINS
2017622,201762206,CONTAINS
2017622,201762207,CONTAINS
2018321,201832101,CONTAINS
2018321,201832102,CONTAINS
2018321,201832103,CONTAINS
2018321,201832104,CONTAINS
2018321,201832105,CONTAINS
2018321,201832106,CONTAINS
2018321,201832107,CONTAINS
2018321,201832108,CONTAINS
2025121,202512101,CONTAINS
2025121,202512102,CONTAINS
2025121,202512103,CONTAINS
2025121,202512104,CONTAINS
2025121,202512105,CONTAINS
2025121,202512106,CONTAINS
2025121,202512107,CONTAINS
2025121,202512108,CONTAINS
2025121,202512109,CONTAINS
2025121,202512110,CONTAINS
2025121,202512111,CONTAINS
2025121,202512112,CONTAINS
2025121,202512113,CONTAINS
2025121,202512114,CONTAINS
2025121,202512115,CONTAINS
2025121,202512116,CONTAINS
2025121,202512117,CONTAINS
2026123,202612301,CONTAINS
2026123,202612302,CONTAINS
2026123,202612303,CONTAINS
2026123,202612304,CONTAINS
2026123,202612305,CONTAINS
2026123,202612306,CONTAINS
2026223,202622301,CONTAINS
2026223,202622302,CONTAINS
2026223,202622303,CONTAINS
2026223,202622304,CONTAINS
2026223,202622305,CONTAINS
2026223,202622306,CONTAINS
2026223,202622307,CONTAINS
2026223,202622308,CONTAINS
2026223,202622309,CONTAINS
2026323,202632301,CONTAINS
2026323,202632302,CONTAINS
2026323,202632303,CONTAINS
2026323,202632304,CONTAINS
2026323,202632305,CONTAINS
2026323,202632306,CONTAINS
2026323,202632307,CONTAINS
2026323,202632308,CONTAINS
2026323,202632309,CONTAINS
2026323,202632310,CONTAINS
2026323,202632311,CONTAINS
2034023,203402301,CONTAINS
2034023,203402302,CONTAINS
2034023,203402303,CONTAINS
2034023,203402304,CONTAINS
2034023,203402305,CONTAINS
2034023,203402306,CONTAINS
2034023,203402307,CONTAINS
2034023,203402308,CONTAINS
2034023,203402309,CONTAINS
2034023,203402310,CONTAINS
2034023,203402311,CONTAINS
2034023,203402312,CONTAINS
2034023,203402313,CONTAINS
2034023,203402314,CONTAINS
2034023,203402315,CONTAINS
2034023,203402316,CONTAINS
2043821,204382101,CONTAINS
2043821,204382102,CONTAINS
2043821,204382103,CONTAINS
2043821,204382114,CONTAINS
2043821,204382105,CONTAINS
2043821,204382106,CONTAINS
2043821,204382107,CONTAINS
2047318,204731801,CONTAINS
2047318,204731802,CONTAINS
2047318,204731803,CONTAINS
2047318,204731804,CONTAINS
2047318,204731805,CONTAINS
2047318,204731806,CONTAINS
2047318,204731807,CONTAINS
2047318,204731808,CONTAINS
2047318,204731809,CONTAINS
2047318,204731810,CONTAINS
2057622,205762201,CONTAINS
2057622,205762202,CONTAINS
2057622,205762203,CONTAINS
2057622,205762204,CONTAINS
2057622,205762205,CONTAINS
2057622,205762206,CONTAINS
2078420,207842001,CONTAINS
2078420,207842002,CONTAINS
2078420,207842003,CONTAINS
2078420,207842004,CONTAINS
2078420,207842005,CONTAINS
2078420,207842006,CONTAINS
2078420,207842007,CONTAINS
2078420,207842008,CONTAINS
2081521,208152101,CONTAINS
2081521,208152102,CONTAINS
2081521,208152103,CONTAINS
2081521,208152104,CONTAINS
2081521,208152105,CONTAINS
2081521,208152106,CONTAINS
2081521,208152107,CONTAINS
2083522,208352208,CONTAINS
2083522,208352209,CONTAINS
2083522,208352210,CONTAINS
2093421,209342102,CONTAINS
2093421,209342103,CONTAINS
2093421,209342104,CONTAINS
2093421,209342105,CONTAINS
2093421,209342106,CONTAINS
2093421,209342107,CONTAINS
2093421,209342108,CONTAINS
2095821,209582101,CONTAINS
2095821,209582102,CONTAINS
2095821,209582103,CONTAINS
2095821,209582104,CONTAINS
2095821,209582105,CONTAINS
2095821,209582106,CONTAINS
2095821,209582107,CONTAINS
2095821,209582108,CONTAINS
2095821,209582109,CONTAINS
2095821,209582110,CONTAINS
2096122,209612202,CONTAINS
3002921,300292101,CONTAINS
3002921,300292102,CONTAINS
3002921,300292103,CONTAINS
3002921,300292104,CONTAINS
3002921,300292105,CONTAINS
3002921,300292106,CONTAINS
3002921,300292107,CONTAINS
3002921,300292108,CONTAINS
3002921,300292109,CONTAINS
3002921,300292110,CONTAINS
3002921,300292111,CONTAINS
3002921,300292112,CONTAINS
3002921,300292113,CONTAINS
3002921,300292114,CONTAINS
3003305,300330501,CONTAINS
3003305,300330502,CONTAINS
3003305,300330503,CONTAINS
3003305,300330504,CONTAINS
3003305,300330505,CONTAINS
3003305,300330506,CONTAINS
3003305,300330507,CONTAINS
3000403,300040301,CONTAINS
3000403,300040302,CONTAINS
3000403,300040303,CONTAINS
3003421,300342101,CONTAINS
3003421,300342102,CONTAINS
3003421,300342103,CONTAINS
3003421,300342104,CONTAINS
3003421,300342105,CONTAINS
3003421,300342106,CONTAINS
3003421,300342107,CONTAINS
3003421,300342108,CONTAINS
3003421,300342109,CONTAINS
3003421,300342110,CONTAINS
3003421,300342111,CONTAINS
3003521,300352106,CONTAINS
3003521,300352107,CONTAINS
3003521,300352108,CONTAINS
3003521,300352109,CONTAINS
3003621,300362101,CONTAINS
3003621,300362102,CONTAINS
3003621,300362103,CONTAINS
3003621,300362104,CONTAINS
3003621,300362105,CONTAINS
3003621,300362106,CONTAINS
3003621,300362107,CONTAINS
3003621,300362108,CONTAINS
3003621,300362109,CONTAINS
3003621,300362110,CONTAINS
3003621,300362111,CONTAINS
3003621,300362112,CONTAINS
3003621,300362113,CONTAINS
3003621,300362114,CONTAINS
3003621,300362115,CONTAINS
3003721,300372101,CONTAINS
3003721,300372102,CONTAINS
3003721,300372103,CONTAINS
3003721,300372104,CONTAINS
3003721,300372105,CONTAINS
3003721,300372106,CONTAINS
