Pasal_id,text
200122201001,PERMEN BUMN No 12 Tahun 2022 PASAL 1
200122201002,PERMEN BUMN No 12 Tahun 2022 PASAL 2
200122201003,PERMEN BUMN No 12 Tahun 2022 PASAL 3
200122201004,PERMEN BUMN No 12 Tahun 2022 PASAL 4
200122201005,PERMEN BUMN No 12 Tahun 2022 PASAL 5
200122202006,PERMEN BUMN No 12 Tahun 2022 PASAL 6
200122202007,PERMEN BUMN No 12 Tahun 2022 PASAL 7
200122202008,PERMEN BUMN No 12 Tahun 2022 PASAL 8
200122202009,PERMEN BUMN No 12 Tahun 2022 PASAL 9
200122202010,PERMEN BUMN No 12 Tahun 2022 PASAL 10
200122203011,PERMEN BUMN No 12 Tahun 2022 PASAL 11
213202101001,PERMEN BUMN No 1320 Tahun 2021 PASAL 1
213202101002,PERMEN BUMN No 1320 Tahun 2021 PASAL 2
213202102003,PERMEN BUMN No 1320 Tahun 2021 PASAL 3
213202102004,PERMEN BUMN No 1320 Tahun 2021 PASAL 4
213202102005,PERMEN BUMN No 1320 Tahun 2021 PASAL 5
213202102006,PERMEN BUMN No 1320 Tahun 2021 PASAL 6
213202102007,PERMEN BUMN No 1320 Tahun 2021 PASAL 7
213202102008,PERMEN BUMN No 1320 Tahun 2021 PASAL 8
213202102009,PERMEN BUMN No 1320 Tahun 2021 PASAL 9
213202102010,PERMEN BUMN No 1320 Tahun 2021 PASAL 10
213202102011,PERMEN BUMN No 1320 Tahun 2021 PASAL 11
213202102012,PERMEN BUMN No 1320 Tahun 2021 PASAL 12
213202102013,PERMEN BUMN No 1320 Tahun 2021 PASAL 13
213202102014,PERMEN BUMN No 1320 Tahun 2021 PASAL 14
213202102015,PERMEN BUMN No 1320 Tahun 2021 PASAL 15
213202103016,PERMEN BUMN No 1320 Tahun 2021 PASAL 16
213791501001,PERMEN BUMN No 1379 Tahun 2015 PASAL 1
213791501002,PERMEN BUMN No 1379 Tahun 2015 PASAL 2
213791501003,PERMEN BUMN No 1379 Tahun 2015 PASAL 3
213791502004,PERMEN BUMN No 1379 Tahun 2015 PASAL 4
213791503005,PERMEN BUMN No 1379 Tahun 2015 PASAL 5
213791503006,PERMEN BUMN No 1379 Tahun 2015 PASAL 6
213791503007,PERMEN BUMN No 1379 Tahun 2015 PASAL 7
213791503008,PERMEN BUMN No 1379 Tahun 2015 PASAL 8
213791503009,PERMEN BUMN No 1379 Tahun 2015 PASAL 9
213791503010,PERMEN BUMN No 1379 Tahun 2015 PASAL 10
213791503011,PERMEN BUMN No 1379 Tahun 2015 PASAL 11
213791503012,PERMEN BUMN No 1379 Tahun 2015 PASAL 12
213791503013,PERMEN BUMN No 1379 Tahun 2015 PASAL 13
213791503014,PERMEN BUMN No 1379 Tahun 2015 PASAL 14
213791503015,PERMEN BUMN No 1379 Tahun 2015 PASAL 15
213791503016,PERMEN BUMN No 1379 Tahun 2015 PASAL 16
213791503017,PERMEN BUMN No 1379 Tahun 2015 PASAL 17
213791503018,PERMEN BUMN No 1379 Tahun 2015 PASAL 18
213791503019,PERMEN BUMN No 1379 Tahun 2015 PASAL 19
213791503020,PERMEN BUMN No 1379 Tahun 2015 PASAL 20
213791503021,PERMEN BUMN No 1379 Tahun 2015 PASAL 21
213791503022,PERMEN BUMN No 1379 Tahun 2015 PASAL 22
213791503023,PERMEN BUMN No 1379 Tahun 2015 PASAL 23
213791503024,PERMEN BUMN No 1379 Tahun 2015 PASAL 24
213791503025,PERMEN BUMN No 1379 Tahun 2015 PASAL 25
213791503026,PERMEN BUMN No 1379 Tahun 2015 PASAL 26
213791503027,PERMEN BUMN No 1379 Tahun 2015 PASAL 27
213791503028,PERMEN BUMN No 1379 Tahun 2015 PASAL 28
213791503029,PERMEN BUMN No 1379 Tahun 2015 PASAL 29
213791503030,PERMEN BUMN No 1379 Tahun 2015 PASAL 30
213791503031,PERMEN BUMN No 1379 Tahun 2015 PASAL 31
213791503032,PERMEN BUMN No 1379 Tahun 2015 PASAL 32
213791503033,PERMEN BUMN No 1379 Tahun 2015 PASAL 33
213791503034,PERMEN BUMN No 1379 Tahun 2015 PASAL 34
213791503035,PERMEN BUMN No 1379 Tahun 2015 PASAL 35
213791503036,PERMEN BUMN No 1379 Tahun 2015 PASAL 36
213791503037,PERMEN BUMN No 1379 Tahun 2015 PASAL 37
213791503038,PERMEN BUMN No 1379 Tahun 2015 PASAL 38
213791503039,PERMEN BUMN No 1379 Tahun 2015 PASAL 39
213791503040,PERMEN BUMN No 1379 Tahun 2015 PASAL 40
213791503041,PERMEN BUMN No 1379 Tahun 2015 PASAL 41
213791503042,PERMEN BUMN No 1379 Tahun 2015 PASAL 42
213791503043,PERMEN BUMN No 1379 Tahun 2015 PASAL 43
213791503044,PERMEN BUMN No 1379 Tahun 2015 PASAL 44
213791503045,PERMEN BUMN No 1379 Tahun 2015 PASAL 45
213791503046,PERMEN BUMN No 1379 Tahun 2015 PASAL 46
213791503047,PERMEN BUMN No 1379 Tahun 2015 PASAL 47
213791503048,PERMEN BUMN No 1379 Tahun 2015 PASAL 48
213791503049,PERMEN BUMN No 1379 Tahun 2015 PASAL 49
213791503050,PERMEN BUMN No 1379 Tahun 2015 PASAL 50
213791503051,PERMEN BUMN No 1379 Tahun 2015 PASAL 51
213791503052,PERMEN BUMN No 1379 Tahun 2015 PASAL 52
213791503053,PERMEN BUMN No 1379 Tahun 2015 PASAL 53
213791503054,PERMEN BUMN No 1379 Tahun 2015 PASAL 54
213791504055,PERMEN BUMN No 1379 Tahun 2015 PASAL 55
213791504056,PERMEN BUMN No 1379 Tahun 2015 PASAL 56
213791504057,PERMEN BUMN No 1379 Tahun 2015 PASAL 57
213791504058,PERMEN BUMN No 1379 Tahun 2015 PASAL 58
213791504059,PERMEN BUMN No 1379 Tahun 2015 PASAL 59
213791504060,PERMEN BUMN No 1379 Tahun 2015 PASAL 60
213791504061,PERMEN BUMN No 1379 Tahun 2015 PASAL 61
213791504062,PERMEN BUMN No 1379 Tahun 2015 PASAL 62
213791504063,PERMEN BUMN No 1379 Tahun 2015 PASAL 63
213791504064,PERMEN BUMN No 1379 Tahun 2015 PASAL 64
213791504065,PERMEN BUMN No 1379 Tahun 2015 PASAL 65
213791504066,PERMEN BUMN No 1379 Tahun 2015 PASAL 66
213791504067,PERMEN BUMN No 1379 Tahun 2015 PASAL 67
213791504068,PERMEN BUMN No 1379 Tahun 2015 PASAL 68
213791504069,PERMEN BUMN No 1379 Tahun 2015 PASAL 69
213791504070,PERMEN BUMN No 1379 Tahun 2015 PASAL 70
213791504071,PERMEN BUMN No 1379 Tahun 2015 PASAL 71
213791504072,PERMEN BUMN No 1379 Tahun 2015 PASAL 72
213791504073,PERMEN BUMN No 1379 Tahun 2015 PASAL 73
213791504074,PERMEN BUMN No 1379 Tahun 2015 PASAL 74
213791504075,PERMEN BUMN No 1379 Tahun 2015 PASAL 75
