Pasal,Pasal_id,Content,Label
PASAL 1,200122201001,"Dalam Peraturan Menteri ini yang dimaksud dengan:   1. Pegawai Negeri Sipil yang selanjutnya disingkat PNS  adalah warga negara Ind onesia yang memenuhi syarat  tertentu, diangkat sebagai pegawai aparatur sipil negara  secara tetap oleh Pejabat Pembina Kepegawaian untuk  menduduki jabatan pemerintahan.   2. Jabatan Fungsional Penata Kelola Perusahaan Negara  yang selanjutnya disebut Jabatan Fun gsional PKPN  adalah Jabatan yang mempunyai ruang lingkup tugas,  tanggung jawab, wewenang, dan hak untuk  melaksanakan Penatakelolaan Perusahaan Negara.   3. Pejabat Fungsional Penata Kelola Perusahaan Negara  yang selanjutnya disebut Penata Kelola Perusahaan  Negara adalah PNS yang diberikan tugas, tanggung  jawab, wewenang, dan hak untuk melaksanakan  penatakelolaan perusahaan negara.   4. Penatakelolaan Perusahaan Negara adalah rangkaian  proses dan mekanisme pengambilan keputusan,  pengelolaan, dan pengawasan Perusahaan Negara dalam  kerangka pola hubungan strategis Direksi, Dewan  Komisaris, dan pemegang saham.   5. Perusahaan Negara adalah perusahaan dengan modal  baik sebagian atau seluruhnya merupakan kekayaan  negara yang dipisahkan dari Anggaran dan Belanja  Negara.   6. Beban Ker ja adalah sejumlah target pekerjaan atau target  hasil yang harus dicapai dalam satu satuan waktu  tertentu.   7. Objek Kerja adalah jumlah Perusahaan Negara yang  dibina dalam satu unit kerja.   8. Jam Kerja Efektif adalah jam kerja yang secara objektif  digunakan unt uk menyelesaikan pekerjaan atau kegiatan  unsur utama.   2022, No.12 -4-  9. Instansi Pembina Jabatan Fungsional Penata Kelola  Perusahaan Negara yang selanjutnya disebut dengan  Instansi Pembina adalah kementerian yang  menyelenggarakan urusan pemerintahan di bidang badan  usaha mi lik negara.   10. Standar Kemampuan Rata -rata yang selanjutnya  disingkat SKR adalah kemampuan rata -rata pejabat  fungsional untuk menghasilkan output  dalam Jam Kerja  Efektif setahun atau sebanyak 1.250 (seribu dua ratus  lima puluh) jam.",PASAL
PASAL 2,200122201002,"Penata Kelola Per usahaan Negara  berkedudukan sebagai  pelaksana teknis fungsional  di bidang Penatakelolaan  Perusahaan Negara khususnya di bidang perumusan strategi  perusahaan negara, perumusan strategi pendanaan,  manajemen portofolio, dukungan perusahaan negara dan  evaluasi  perusahaan negara pada Instansi Pembina .",PASAL
PASAL 3,200122201003,Pedoman perhitungan kebutuhan Jabatan Fungsional PKPN  sebagaimana diatur dalam Peraturan Menteri ini digunakan  untuk perhitungan kebutuhan Jabatan Fungsional PKPN  pada Instansi Pembina.,PASAL
PASAL 4,200122201004,"(1) Jabatan Fu ngsional  PKPN  merupakan Jabatan  Fungsional kategori keahlian dari jenjang terendah  sampai dengan jenjang tertinggi, terdiri atas :  a. Penata Kelola Perusahaan Negara  Ahli Pertam a;  b. Penata Kelola Perusahaan Negara  Ahli Muda;   c. Penata Kelola Perusahaan Negara Ahli Madya ; dan  d. Penata Kelola Perusahaan Negara Ahli  Utama.   (2) Jabatan Fungsional PKPN hanya berkedudukan di  Instansi Pembina.   (3) Jabatan Fungsional PKPN berada pada unit kerja yang  membidangi Penatakelolaan Perusahaan Negara.   2022, No.12 -5-",PASAL
PASAL 5,200122201005,"Kualifikasi pendidikan untuk Jab atan Fungsional PKPN  meliputi:   a. berijazah paling rendah sarjana atau diploma empat di  bidang studi ilmu akuntansi, manajemen, logistik,  administrasi bisnis, kewirausahaan, ekonomi, teknik  atau rekayasa industri, hukum atau bidang studi yang  relevan dengan t ugas jabatan yang ditetapkan oleh  Instansi Pembina; dan   b. berijazah paling rendah magister atau pascasarjana di  bidang studi ilmu akuntansi, manajemen, logistik,  administrasi bisnis, kewirausahaan, ekonomi, teknik  atau rekayasa industri, hukum atau bidang st udi yang  relevan dengan tugas jabatan yang ditetapkan oleh  Instansi Pembina untuk Jabatan Fungsional Penata  Kelola Perusahaan Negara Ahli Madya dan Penata Kelola  Perusahaan Negara Ahli Utama;     BAB II : PENYUSUNAN DAN PERHITUNGAN KEBUTUHAN",PASAL
PASAL 6,200122202006,(1) Penyusunan  kebutuhan Jabatan Fungsional  PKPN   dilakukan untuk jangka waktu 5 (lima) tahun sesuai  dengan dinamika/perkembangan organisasi Instansi  Pembina.   (2) Kebutuhan Jabatan Fungsional PKPN sebagaimana  dimaksud pada ayat (1) diperinci setiap 1(satu) tahun  berdasarkan  prioritas kebutuhan.   (3) Penyusunan kebutuhan Jabatan Fungsional PKPN  sebagaimana dimaksud pada ayat (1) dapat dilakukan  dengan sistem elektronik sesuai dengan ketentuan  peraturan perundang -undangan.,PASAL
PASAL 7,200122202007,"Penyusunan kebutuhan Jabatan Fungsional  PKPN   sebag aimana dimaksud dalam Pasal 6 dilakukan melalui  2022, No.12 -6-  tahapan:   a. perhitungan; dan   b. pengusulan.",PASAL
PASAL 8,200122202008,(1) Aspek perhitungan kebutuhan Jabatan Fungsional PKPN  sebagaimana dimaksud dalam Pasal 7 huruf a meliputi:   a. Objek Kerja; dan   b. SKR.   (2) Objek Kerja sebagaimana dimaksud pada ayat (1) huruf a  diperoleh berdasarkan jumlah Perusahaan Negara yang  ditetapkan pada tingkat unit kerja untuk masing -masing  jenjang Jabatan Fungsional PKPN.   (3) SKR sebagaimana dimaksud pada ayat (1) huruf b  merupakan standar kemampuan rata -rata untuk  mem peroleh hasil kerja yang diukur menggunakan  satuan hasil.,PASAL
PASAL 9,200122202009,"(1) Perhitungan kebutuhan Jabatan Fungsional PKPN  dilakukan melalui pendekatan Objek Kerja dengan  memperhatikan SKR penyelesaian kegiatan dan Beban  Kerja.   (2) Perhitungan kebutuhan Jabatan Fungsion al PKPN  melalui pendekatan Objek Kerja sebagaimana dimaksud  pada ayat (1) meliputi tahapan:   a. mengidentifikasi aspek Beban Kerja berdasarkan  rata-rata volume 3 (tiga) tahun terakhir atau target  volume tahun berjalan;    b. menghitung kebutuhan Jabatan Fungsional  PKPN  berdasarkan Objek Kerja, volume Beban Kerja, SKR  dan persentase kontribusi dari masing -masing  jenjang Jabatan Fungsional PKPN;   c. Nilai SKR dan persentase kontribusi telah ditetapkan  dan menjadi acuan dalam penghitungan kebutuhan  sebagaimana terdapat da lam lampiran peraturan ini.   (3) Perhitungan kebutuhan Jabatan Fungsional PKPN  2022, No.12 -7-  dengan pendekatan Objek Kerja sebagaimana dimaksud  pada ayat (1) dan ayat (2) tercantum dalam Lampiran  yang merupakan bagian tidak terpisahkan dari Peraturan  Menteri ini.",PASAL
PASAL 10,200122202010,(1) Pejabat Pimpinan Tinggi Pratama yang membidangi  Penatakelolaan Perusahaan Negara mengajukan usulan  kebutuhan Jabatan Fungsional PKPN sebagaimana  dimaksud dalam Pasal 7 huruf b kepada Pejabat  Pimpinan Tinggi Pratama yang membidangi kepegawaian.   (2) Pejabat Pimpi nan Tinggi Pratama yang membidangi  kepegawaian melakukan verifikasi usulan penetapan  kebutuhan Jabatan Fungsional PKPN.   (3) Pejabat Pimpinan Tinggi Pratama yang membidangi  kepegawaian memberikan rekomendasi atas hasil  verifikasi usulan kebutuhan Jabatan Fungsi onal PKPN  kepada Pejabat Pimpinan Tinggi Madya yang membidangi  kesekretariatan.   (4) Pejabat Pimpinan Tinggi Madya yang membidangi  kesekretariatan menyampaikan usulan penetapan  kebutuhan yang telah diverifikasi kepada menteri yang  menyelenggarakan urusan pemeri ntahan di bidang  pendayagunaan aparatur negara.     BAB III : KETENTUAN PENUTUP,PASAL
PASAL 11,200122203011,"Peraturan  Menteri ini mulai berlaku pada tanggal  diundangkan.               2022, No.12 -8-",PASAL
PASAL 1,213202101001,"Dalam Peraturan Menteri ini yang dimaksud dengan:   1. Pegawai Negeri Sipil yang selanjutnya disingkat PNS  adalah warga negara Indonesia yang memenuhi syar at  tertentu, diangkat sebagai pegawai aparatur sipil negara  secara tetap oleh Pejabat Pembina Kepegawaian untuk  menduduki jabatan pemerintahan.   2. Penyesuaian/ Inpassing  adalah proses pengangkatan PNS  dalam Jabatan Fungsional guna memenuhi kebutuhan  organisasi  sesuai dengan peraturan perundangan dalam  jangka waktu tertentu.   3. Jabatan Fungsional adalah sekelompok jabatan yang  berisi fungsi dan tugas berkaitan dengan pelayanan  fungsional yang berdasarkan pada keahlian dan  keterampilan tertentu.   4. Jabatan  Fungsional P enata Kelola Perusahaan Negara  yang selanjutnya disebut Jabatan Fungsional PKPN  adalah jabatan yang mempunyai ruang lingkup tugas,  tanggung jawab, wewenang, dan hak untuk  melaksanakan Penatakelolaan Perusahaan Negara.   5.  Pejabat Fungsional Penata Kelola Peru sahaan Negara  yang selanjutnya disebut Penata Kelola Perusahaan  Negara adalah PNS yang diberikan tugas, tanggung  jawab, wewenang, dan hak untuk melaksanakan  Penatakelolaan Perusahaan Negara.   2021, No.1320  -4-  6. Pejabat Pembina Kepegawaian yang selanjutnya disingkat  PPK adalah  pejabat yang mempunyai kewenangan  menetapkan pengangkatan, pemindahan, dan  pemberhentian aparatur sipil negara dan pembinaan  manajemen aparatur sipil negara di Instansi Pemerintah  sesuai dengan ketentuan peraturan perundang - undangan.   7. Pejabat yang Berwenan g adalah pejabat yang mempunyai  kewenangan melaksanakan proses pengangkatan,  pemindahan, dan pemberhentian PNS sesuai dengan  ketentuan peraturan perundang -undangan.   8. Instansi Pembina Jabatan Fungsional Penata Kelola  Perusahaan Negara yang selanjutnya disebu t dengan  Instansi Pembina adalah kementerian yang  menyelenggarakan urusan pemerintahan di bidang  badan usaha milik negara .  9. Uji Kompetensi adalah proses pengujian dan penilaian  untuk pemenuhan standar kompetensi pada setiap  jenjang Jabatan Fungsional PKPN.   10. Angka Kredit adalah satuan nilai dari tiap butir kegiatan  dan/atau akumulasi nilai butir -butir kegiatan yang  harus dicapai oleh Penata Kelola Perusahaan Negara  dalam rangka pembinaan karier yang bersangkutan.   11. Angka Kredit Kumulatif adalah akumulasi nilai A ngka  Kredit minimal yang harus dicapai oleh Penata Kelola  Perusahaan Negara sebagai salah satu syarat kenaikan  pangkat dan jabatan.   12. Menteri adalah menteri yang menyelenggarakan urusan  pemerintahan di bidang badan usaha milik negara.",PASAL
PASAL 2,213202101002,"Pengangkatan PNS ke dalam Jabatan Fungsional PKPN dapat  dilakukan melalui Penyesuaian/ Inpassing .          2021, No.1320  -5-  BAB II : PENGANGKATAN DALAM JABATAN FUNGSIONAL PENATA KELOLA PERUSAHAAN NEGARA MELALUI  PENYESUAIAN/INPASSING",PASAL
PASAL 3,213202102003,"(1) Pengangkatan dalam Jabatan Fungsional PKPN melalui  Penyesuaian/ Inpassing ditujukan bagi:   a. PNS yang telah dan/atau masih menjalankan tugas  di bidang yang menjadi tugas Jabatan Fungsional   PKPN;   b. PNS yang masih menjalankan tugas jabatan sesuai  dengan formasi Jabatan Fungsional  PKPN dan telah  mendapatkan kenaikan  pangkat setingkat lebih  tinggi; dan   c. pejabat pimpinan tinggi, administrator , dan  pengawas yang memiliki kesesuaian atau  keterkaitan antara bidang tugas jabatan dengan  Jabatan Fungsional PKPN  yang akan  diduduki .  (2) Pengangkatan PNS dalam Jabatan Fungsional PKP N  sebagaimana dimaksud pada ayat (1) dilakukan untuk  pengangkatan Jabatan Fungsional PKPN jenjang Ahli  Pertama, Ahli Muda, Ahli Madya, dan Ahli Utama.",PASAL
PASAL 4,213202102004,"(1) Pelaksanaan Penyesuaian/ Inpassing  didasarkan pada  kebutuhan Jabatan Fungsional PKPN yang telah  ditetapkan oleh menteri yang menyelenggarakan urusan  pemerintahan di bidang pendayagunaan aparatur  negara.   (2) Dalam hal kebutuhan Jabatan Fungsional PKPN melalui  Penyesuaian/ Inpassing  belum ditetapkan sebagaimana  dimaksud pada ayat (1), Uji Kompetensi  Penyesua ian/Inpassing  dapat tetap dilaksanakan sesuai  dengan ketentuan dan tahapan yang ditetapkan oleh  Instansi Pembina.     2021, No.1320  -6-",PASAL
PASAL 5,213202102005,Pengangkatan dalam Jabatan Fungsional PKPN melalui  Penyesuaian/ Inpassing  harus memenuhi syarat sebagai  berikut:   a. berstatus PNS;   b. memili ki integritas dan moralitas yang baik;   c. sehat jasmani dan rohani;   d. berijazah paling rendah sarjana atau diploma empat;   e. memiliki pengalaman dalam pelaksanaan tugas di bidang  Penatakelolaan Perusahaan Negara paling singkat 2 (dua)  tahun;   f. nilai prestasi kerja p aling rendah bernilai baik dalam 2  (dua) tahun terakhir;   g. mengikuti dan lulus Uji Kompetensi di bidang Jabatan  Fungsional PKPN yang akan diduduki; dan   h. berusia paling tinggi:   1) 56 (lima puluh enam) tahun bagi yang akan  diangkat dalam Jabatan Fungsional jenjan g Ahli  Pertama dan Ahli Muda; dan   2) 58 (lima puluh delapan) tahun bagi yang akan  diangkat dalam Jabatan Fungsional jenjang Ahli  Madya.,PASAL
PASAL 6,213202102006,"(1) PNS yang telah memenuhi persyaratan sebagaimana  dimaksud dalam Pasal 5 dapat mengajukan permohonan  Penyesuaian/ Inpassing  dalam Jabatan Fungsional PKPN.   (2) Permohonan sebagaimana dimaksud pada ayat (1)  diajukan oleh pejabat pimpinan tinggi pratama masing - masing unit kerja kepada Menteri c.q. pejabat pimpinan  tinggi madya yang membidangi kesekretariatan.   (3) Pejabat pimpinan tinggi pratama sebagaimana dimaksud  pada ayat (2) menyampaikan permohonan dengan  melampirkan:   a. usulan Penyesuaian/ Inpassing  Jabatan Fungsional  PKPN;   b. daftar nama PNS yang diusulkan; dan   2021, No.1320  -7-  c. berkas administrasi,   kepada Menteri c.q. pejabat pimpinan tinggi madya yang  membidangi kesekretariatan untuk dilakukan verifikasi  dan validasi oleh Tim Penilai.   (4) Format penyampaian usulan sebagaimana dimaksud  pada ayat (3) huruf a tercantum dalam Lampiran I yang  merupakan bagian tidak terpisahkan dari Peraturan  Menteri ini.   (5) Berkas administrasi PNS yang diusulkan  Penyesuaian/ Inpassing  Jabatan Fungsional PKPN  sebagaimana dimaksud pada ayat (3) huruf c terdiri atas:   a. salinan keputusan pengangkatan PNS, salinan  keputusan pangkat terakhir, dan salinan  keputusan jabatan terakhir;   b. surat keterangan sehat jasmani dan rohani yang  dikeluarkan oleh fasilitas kesehatan milik  pemerintah;   c. salinan ijazah yang telah dilegalisasi oleh pejabat  yang berwenang yaitu Dekan Fakultas pada  Universitas/Institut, Direktur Politeknik, atau  Ketua Sekolah Tin ggi yang bersangkutan. Khusus  lulusan perguruan tinggi di luar negeri, ijazah  harus disetarakan oleh kementerian yang  menyelenggarakan urusan pemerintahan  pendidikan tinggi;   d. surat keterangan memiliki pengalaman di bidang  Penatakelolaan Perusahaan Negara pa ling sedikit 2  (dua) tahun yang ditetapkan oleh PPK sesuai  dengan contoh formulir sebagaimana tercantum  dalam Lampiran II yang merupakan bagian tidak  terpisahkan dari Peraturan Menteri ini;   e. salinan penilaian Prestasi Kerja 2 (dua) tahun  terakhir;   f. Curriculu m Vitae  sesuai dengan yang tersedia pada  aplikasi sistem informasi kepegawaian;   g. surat pernyataan yang menyatakan:   1) bersedia diangkat menjadi Jabatan Fungsional  2021, No.1320  -8-  PKPN;   2) bersedia mengikuti pendidikan dan pelatihan  Jabatan Fungsional PKPN; dan   3) komitmen untuk mel aksanakan kegiatan di  bidang Penatakelolaan Perusahaan Negara  secara aktif;   sesuai dengan contoh formulir sebagaimana  tercantum dalam Lampiran III yang merupakan  bagian tidak terpisahkan dari Peraturan Menteri ini;   h. surat keterangan yang menyatakan:   1) tidak sedang menjalani/dijatuhi hukuman  disiplin;   2) tidak sedang menjalani tugas belajar; dan   3) tidak sedang menjalani cuti diluar tanggungan  negara;   yang ditandatangani oleh PPK sesuai dengan  contoh formulir sebagaimana tercantum dalam  Lampiran IV yang merupakan ba gian tidak  terpisahkan dari Peraturan Menteri ini.",PASAL
PASAL 7,213202102007,"(1) Terhadap permohonan sebagaimana dimaksud dalam   Pasal 6 ayat (1) dilakukan verifikasi dan validasi.   (2) Verifikasi dan validasi sebagaimana dimaksud pada ayat  (1) dilakukan oleh Tim Penilai yang terdir i atas:   a. Ketua;   b. Sekretaris; dan   c. Anggota.   (3) Tim Penilai sebagaimana dimaksud pada ayat (2)  dibentuk dan ditetapkan oleh Menteri dan apabila  diperlukan dapat pula dibentuk sekretariat Tim Penilai  yang bertugas untuk membantu Tim Penilai dalam  administrasi dan t ata usaha kegiatan  Penyesuaian/ Inpassing  Penata Kelola Perusahaan  Negara.   (4) Ketua sebagaimana dimaksud pada ayat (2) huruf a  dijabat oleh paling rendah adalah pejabat pimpinan  2021, No.1320  -9-  tinggi pratama yang membidangi kepegawaian.   (5) Sekretaris sebagaimana dimaksud pada a yat (2) huruf b  dijabat oleh pejabat dari unsur kepegawaian.   (6) Anggota sebagaimana dimaksud pada ayat (2) huruf c,  paling sedikit terdiri atas 2 (dua) orang dari unsur  Penata Kelola Perusahaan Negara.",PASAL
PASAL 8,213202102008,Tim Penilai sebagaimana dimaksud dalam Pasal 7 a yat (2)  mempunyai tugas:   a. memverifikasi dan memvalidasi berkas administrasi  Penyesuaian/ Inpassing ;  b. melaksanakan Uji Kompetensi Penyesuaian/ Inpassing ;  c. menilai hasil Uji Kompetensi Penyesuaian/ Inpassing ; dan   d. menyampaikan usulan rekomendasi kepada Menteri  untu k Jabatan Fungsional PKPN Ahli Utama dan kepada  pejabat pimpinan tinggi madya yang membidangi  kesekretariatan untuk Jabatan Fungsional PKPN Ahli  Pertama sampai dengan Ahli Madya.,PASAL
PASAL 9,213202102009,PNS yang berkasnya telah terverifikasi dan tervalidasi  memenuhi pers yaratan dilakukan pemanggilan oleh Tim  Penilai untuk mengikuti Uji Kompetensi  Penyesuaian/ Inpassing .,PASAL
PASAL 10,213202102010,"(1) Uji Kompetensi Penyesuaian/ Inpassing  sebagaimana  dimaksud dalam Pasal 9 dilaksanakan oleh Instansi  Pembina.   (2) Materi Uji Kompetensi Penyesuaian/ Inpassing disusun  berdasarkan kompetensi manajerial, sosial kultural, dan  teknis/bidang  Jabatan Fungsional PKPN pada setiap  jenjang jabatan.   (3) Metode Uji Kompetensi Penyesuaian/ Inpassing  terdiri  atas:  a. penilaian portofolio;   2021, No.1320  -10-  b. tes tertulis; dan/atau   c. wawancara.   (4) Hasil Uji Kompetensi Penyesuaian/ Inpassing  berupa  usulan rekomendasi.   (5) Pelaksanaan Uji Kompetensi Penyesuaian/ Inpassing   dilaksanakan paling lambat 6 (enam) bulan sebelum  masa Penyesuaian/ Inpassing  berakhir.   (6) Pedoman/Petunjuk Teknis Uji Kompetensi ditetapkan  oleh pejabat pimpinan tinggi madya yang membidangi  kesekretariatan.",PASAL
