Start_id,End_id,Relation
200122201002,200122201001,PREV
200122201003,200122201002,PREV
200122201004,200122201003,PREV
200122201005,200122201004,PREV
200122202006,200122202005,PREV
200122202007,200122202006,PREV
200122202008,200122202007,PREV
200122202009,200122202008,PREV
200122202010,200122202009,PREV
200122203011,200122203010,PREV
213202101002,213202101001,PREV
213202102003,213202102002,PREV
213202102004,213202102003,PREV
213202102005,213202102004,PREV
213202102006,213202102005,PREV
213202102007,213202102006,PREV
213202102008,213202102007,PREV
213202102009,213202102008,PREV
213202102010,213202102009,PREV
213202102011,213202102010,PREV
213202102012,213202102011,PREV
213202102013,213202102012,PREV
213202102014,213202102013,PREV
213202102015,213202102014,PREV
213202103016,213202103015,PREV
213791501002,213791501001,PREV
213791501003,213791501002,PREV
213791502004,213791502003,PREV
213791503005,213791503004,PREV
213791503006,213791503005,PREV
213791503007,213791503006,PREV
213791503008,213791503007,PREV
213791503009,213791503008,PREV
213791503010,213791503009,PREV
213791503011,213791503010,PREV
213791503012,213791503011,PREV
213791503013,213791503012,PREV
213791503014,213791503013,PREV
213791503015,213791503014,PREV
213791503016,213791503015,PREV
213791503017,213791503016,PREV
213791503018,213791503017,PREV
213791503019,213791503018,PREV
213791503020,213791503019,PREV
213791503021,213791503020,PREV
213791503022,213791503021,PREV
213791503023,213791503022,PREV
213791503024,213791503023,PREV
213791503025,213791503024,PREV
213791503026,213791503025,PREV
213791503027,213791503026,PREV
213791503028,213791503027,PREV
213791503029,213791503028,PREV
213791503030,213791503029,PREV
213791503031,213791503030,PREV
213791503032,213791503031,PREV
213791503033,213791503032,PREV
213791503034,213791503033,PREV
213791503035,213791503034,PREV
213791503036,213791503035,PREV
213791503037,213791503036,PREV
213791503038,213791503037,PREV
213791503039,213791503038,PREV
213791503040,213791503039,PREV
213791503041,213791503040,PREV
213791503042,213791503041,PREV
213791503043,213791503042,PREV
213791503044,213791503043,PREV
213791503045,213791503044,PREV
213791503046,213791503045,PREV
213791503047,213791503046,PREV
